trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
42,bus_A,3ph,-0.15181,-0.02051,-0.11686,-0.25897,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
43,bus_A,3ph,0.02703,0.27471,0.17452,-0.66932,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
44,bus_A,3ph,0.14133,-0.19931,0.12457,-0.3199,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
45,bus_A,3ph,0.08713,0.13128,0.14022,0.75339,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
46,bus_A,3ph,-0.08981,0.07699,0.0957,-0.66032,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
47,bus_A,3ph,0.06518,-0.10709,-0.13541,0.07771,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
48,bus_A,3ph,-0.01525,0.04625,0.05677,-0.00209,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
49,bus_A,3ph,0.16206,-0.19325,-0.08448,-0.22585,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
50,bus_A,3ph,0.10975,0.09126,-0.11743,0.38397,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
51,bus_A,3ph,0.10861,0.16214,-0.16865,-0.45217,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
52,bus_A,3ph,0.15815,0.22766,-0.11777,0.0807,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
53,bus_A,3ph,-0.09493,-0.05023,-0.19162,-0.34281,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
54,bus_A,3ph,-0.09173,0.25148,0.03519,-0.50656,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
55,bus_A,3ph,-0.02897,-0.00424,0.05494,0.05097,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
56,bus_A,3ph,-0.0316,-0.11352,0.03,0.74744,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
57,bus_A,3ph,0.02119,0.23221,-0.19389,-0.46637,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
