study,k_ibr,delta_I,rms_post,trip_tdcs,correct
A_3ph,0.07,0.04737615433949869,0.04949747468305833,True,True
A_3ph,0.08,0.05444722215136416,0.0565685424949238,True,True
A_3ph,0.09,0.06151828996322963,0.06363961030678927,True,True
A_3ph,0.1,0.06858935777509512,0.07071067811865477,True,True
A_3ph,0.11,0.07566042558696058,0.07778174593052023,True,True
A_3ph,0.12,0.08273149339882606,0.08485281374238571,True,True
A_3ph,0.15,0.10394469683442248,0.10606601717798213,True,True
B_load,0.1,0.0,0.0021213203435596424,False,True
B_load,0.15,0.0,0.0021213203435596424,False,True
B_load,0.2,0.0,0.0021213203435596424,False,True
B_load,0.25,0.0,0.0021213203435596424,False,True
B_load,0.3,0.0,0.0021213203435596424,False,True
B_load,0.4,0.0,0.0021213203435596424,False,True
B_load,0.5,0.0,0.0021213203435596424,False,True
C_ext,1.0,0.0014142135623730952,0.0035355339059327377,False,True
C_ext,1.5,0.0031819805153394643,0.005303300858899107,False,True
C_ext,2.0,0.0049497474683058325,0.007071067811865475,False,True
C_ext,3.0,0.008485281374238571,0.010606601717798213,False,True
C_ext,4.0,0.012020815280171309,0.01414213562373095,False,True
C_ext,5.0,0.01555634918610405,0.01767766952966369,False,True
C_ext,7.0,0.022627416997969524,0.024748737341529166,False,True
