decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
RESTRAIN,300.0,False,RESTRAIN,0.1942886225537488,0.0,0.12402982472043093,104.91111198676059
RESTRAIN,300.0,False,RESTRAIN,0.19564300702850967,0.0,0.1309849164388335,43.501135502811984
RESTRAIN,300.0,False,RESTRAIN,0.18549492161534098,0.0,0.2747868216363476,38.65423856965374
RESTRAIN,300.0,False,RESTRAIN,0.2024512052276889,0.0,0.6899261121720505,3.363657067989667
RESTRAIN,300.0,False,RESTRAIN,0.21791797075318564,0.0,0.3718985770587721,352.20828636082274
RESTRAIN,300.0,False,RESTRAIN,0.273982361564141,0.0,0.7736101335794924,235.82912478649888
RESTRAIN,300.0,False,RESTRAIN,0.11345592410158312,0.0,0.8542378462249479,115.64536291409084
RESTRAIN,300.0,False,RESTRAIN,0.20668475127239416,0.0,0.0678781342186852,208.46829496321757
RESTRAIN,300.0,False,RESTRAIN,0.2492101702871381,0.0,0.6397405874709482,222.86662197530268
RESTRAIN,300.0,False,RESTRAIN,0.19818066833304238,0.0,0.07673929808394067,65.8544254599604
RESTRAIN,300.0,False,RESTRAIN,0.20128202644061066,0.0,0.06455534499226141,103.99254535928063
RESTRAIN,300.0,False,RESTRAIN,0.21096186545588924,0.0,0.24819232639835231,197.01999142336172
RESTRAIN,300.0,False,RESTRAIN,0.22178430357201706,0.0,0.09144230243944383,302.3260197867925
RESTRAIN,300.0,False,RESTRAIN,0.15073784033066062,0.0,0.5966746422720046,46.65191946557118
RESTRAIN,300.0,False,RESTRAIN,0.2740416848976982,0.0,0.6445076075904606,309.00086828502384
RESTRAIN,300.0,False,RESTRAIN,0.24126703270031946,0.0,0.5753378450303297,219.234999136675
RESTRAIN,300.0,False,RESTRAIN,0.19742361973325195,0.0,0.5178211809941722,176.27736390731943
RESTRAIN,300.0,False,RESTRAIN,0.13550373004265126,0.0,0.70311519296238,51.81854395857589
RESTRAIN,300.0,False,RESTRAIN,0.2215949060243586,0.0,0.6953205682696187,197.965388513695
RESTRAIN,300.0,False,RESTRAIN,0.13115084987618986,0.0,0.7832304217965408,127.30737879468039
