decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
TRIP,20.0,False,TRIP,0.8513980749209289,0.38697802427798167,0.15270442919272204,259.4622192001662
TRIP,20.0,False,TRIP,0.7547308023069362,0.21943921987602616,0.46404939039243304,256.04559413088134
TRIP,60.0,False,TRIP,0.7837640781825037,0.42929895995569123,0.5368030642119692,72.97021118999672
TRIP,160.0,True,TRIP,0.9046629439205575,0.34868401452968195,0.11664530011993207,13.195942260565365
TRIP,20.0,True,TRIP,0.9111219611988693,0.047088673943824766,0.03070079839254118,109.36782785054493
TRIP,100.0,False,TRIP,0.8698759519911878,0.48781117581837796,0.30771116271093707,56.56906974922229
TRIP,20.0,False,TRIP,0.6887122944572712,0.3805698509951765,0.541816860194706,142.48385251764986
TRIP,160.0,False,TRIP,0.8878415724963948,0.3930321526384769,0.45554588490189984,352.56460289493754
TRIP,40.0,False,TRIP,0.8041771911843626,0.06405681633777294,0.49131720429021386,65.18569352587954
TRIP,20.0,False,TRIP,0.8195676635521616,0.22519296894778357,0.28198753799535786,114.79461963226882
TRIP,20.0,True,TRIP,0.8623471264076142,0.18539901211629062,0.1644618816771489,261.04115387504606
TRIP,20.0,False,CTALARM,0.7499050908277052,0.4633824944243009,0.3722451902992266,183.30580183029178
TRIP,160.0,False,TRIP,0.9037193657532645,0.32193256004033227,0.1430559856244378,15.814131686418573
TRIP,60.0,False,TRIP,0.7897353406347445,0.411380806635415,0.508360087889546,58.2084065380758
TRIP,180.0,False,TRIP,0.907180674941642,0.22170709941366556,0.1378765191716339,336.6898397183505
TRIP,140.0,False,TRIP,0.9007516683819617,0.11361936089238844,0.203884286700039,37.13939738605025
TRIP,20.0,False,CTALARM,0.7897521648971898,0.2772923935079174,0.35458134482610376,228.63340339549407
TRIP,100.0,False,TRIP,0.8869007601477079,0.03190862805208766,0.34069695390044646,285.23723358272815
TRIP,40.0,False,TRIP,0.7795354950933825,0.41381558599629104,0.4205945634849206,95.5580625809726
TRIP,20.0,False,TRIP,0.795113657420149,0.3158321995610324,0.30621122034994186,261.0280811299284
TRIP,60.0,False,TRIP,0.7644105231805907,0.3790438700426869,0.6436313159570639,61.16226445086489
TRIP,20.0,False,TRIP,0.7193828888895245,0.17726298406493418,0.5879538659380317,102.51009894016453
TRIP,20.0,False,TRIP,0.6188616920484085,0.48534901219745163,0.6153794158656468,112.25593111831469
TRIP,160.0,False,TRIP,0.8873558458768669,0.44656056066109884,0.4406615999824062,358.7165966031205
TRIP,40.0,False,TRIP,0.7717814228247637,0.38919174853688093,0.44450554110256446,77.24602627846463
TRIP,80.0,False,TRIP,0.8583214109374006,0.09731935392598379,0.42643907860116403,46.514687268090604
TRIP,180.0,False,TRIP,0.9023228324033142,0.2333605018635171,0.3044189080950193,333.2489174933077
TRIP,100.0,False,TRIP,0.893232619886446,0.02190188289361439,0.22547420074708382,58.29504977532699
TRIP,180.0,False,TRIP,0.9020834533748395,0.07714474603377391,0.4144020212142092,316.54077106658593
TRIP,20.0,True,CTALARM,0.9101670277021693,0.3415244766212273,0.017872285996915215,234.1643859528084
TRIP,20.0,True,CTALARM,0.8981908808267713,0.37238107795390857,0.005219501996662123,207.67013930538675
TRIP,40.0,False,TRIP,0.7039438658380079,0.483754866217105,0.5961492784077239,270.4819361567677
TRIP,20.0,True,TRIP,0.9074830104446568,0.16291267906907597,0.03249683134433553,261.35962457329805
TRIP,100.0,False,TRIP,0.8738582259777373,0.18522985301743444,0.36735660523339264,39.789428190592936
TRIP,160.0,False,TRIP,0.8926435010159968,0.23477790563790396,0.43049143406475154,359.8077997464081
TRIP,180.0,True,TRIP,0.9076140195517631,0.09473567954214285,0.13871986073570491,339.0803015215423
TRIP,180.0,False,TRIP,0.8965946311873672,0.06496075266773582,0.6270115867856038,322.7731066302898
TRIP,20.0,True,CTALARM,0.8762676956585955,0.23785246311296687,0.13306704022386248,224.02408821926645
TRIP,20.0,False,CTALARM,0.7350784803392693,0.11345467452544206,0.6191604911566723,188.2048792796331
TRIP,20.0,False,CTALARM,0.710044435309205,0.3349069973412552,0.5340931885331246,193.06029019740058
TRIP,160.0,False,TRIP,0.9031988464599993,0.21857595943616537,0.16852006746693576,5.377299922163679
TRIP,20.0,True,CTALARM,0.8787729732059203,0.4163390980289187,0.10552091639326548,179.80902070035944
TRIP,20.0,False,CTALARM,0.8321655622943085,0.35013255100112456,0.22136289713036456,224.55704435757116
TRIP,20.0,False,CTALARM,0.8316144212650787,0.15618332069102053,0.27856539638919225,237.13423515898145
TRIP,20.0,False,TRIP,0.8427992782028172,0.41612990069760053,0.1720492735492464,119.57020741847268
TRIP,20.0,False,CTALARM,0.6173464453648554,0.40238217874840093,0.6992240841280962,169.66164610567782
TRIP,20.0,True,CTALARM,0.8687369386426798,0.19373918951508723,0.1607566353677067,229.0718183985268
