slip,trip,kappa_n,omega_true,omega_hat,delta_omega,cusum_latency_ms,I_fund_hat
0.03,True,inf,9.42477796076938,11.075232179797286,1.6504542190279068,,1.0224362361440923e-36
0.03,True,inf,9.42477796076938,99.29081971552152,89.86604175475215,,0.31762424573738324
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,4.2900395233291345e-28
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,8.17445988194193e-37
0.03,True,inf,9.42477796076938,-0.051881647594704185,9.476659608364084,,4.425528133840631e-36
0.03,True,inf,9.42477796076938,-80.19343584874994,89.61821380951932,,3.304313200918018e-35
0.03,True,inf,9.42477796076938,-64.57471259170242,73.9994905524718,,5.667844632009487e-32
0.03,True,5485.688575622333,9.42477796076938,-14.390644568710544,23.815422529479925,,0.16899648517428453
0.03,True,inf,9.42477796076938,44.00379629043059,34.57901832966121,,4.282532730534942e-38
0.03,True,9249552.947324364,9.42477796076938,-1.7225872355807563,11.147365196350135,,0.1301239198434583
0.03,True,inf,9.42477796076938,-7.957459782632475,17.382237743401856,,0.5709987056134443
0.03,True,589520.6807379677,9.42477796076938,3.785777581462716,5.639000379306664,,0.10745153692127488
0.03,True,inf,9.42477796076938,-86.91602818357805,96.34080614434743,,1.8774328855130814e-38
0.03,True,12067.971866739737,9.42477796076938,17.941550683136807,8.516772722367428,,0.19583764102904438
0.03,True,inf,9.42477796076938,34.34463539067681,24.919857429907427,10.860279978718559,1.71213534461242e-32
0.03,True,311404081.7333712,9.42477796076938,-0.717116716353207,10.141894677122586,,0.13608684345665426
0.03,True,2447.7428905034812,9.42477796076938,-13.4840918411803,22.908869801949677,,0.24194878471295062
0.03,True,inf,9.42477796076938,15.891689379471474,6.466911418702095,,0.4695069438099017
0.03,True,240600.10488543758,9.42477796076938,5.632385635077917,3.7923923256914627,11.020313999461226,0.19548087401300032
0.03,True,12954167.693489343,9.42477796076938,1.7241251212138198,7.700652839555559,,0.1266333353350116
0.03,True,inf,9.42477796076938,49.66346343274606,40.23868547197668,,4.4739783686703825e-23
0.03,True,inf,9.42477796076938,7.150164677364891,2.2746132834044888,,0.18244118744495588
0.03,True,4023.6895378119757,9.42477796076938,-12.945538848804947,22.370316809574327,,0.1552791259193325
0.03,True,287.873864813924,9.42477796076938,-66.03039615232083,75.45517411309021,,0.5099145596138271
0.03,True,inf,9.42477796076938,-38.75978144612884,48.18455940689822,,9.407408694288422e-44
0.03,True,16434.01027018164,9.42477796076938,13.9876295709756,4.56285161020622,,0.21049681192298916
0.03,True,inf,9.42477796076938,11.392907761809735,1.9681298010403552,88.64684313234342,0.4690728698986746
0.03,True,inf,9.42477796076938,5.828088500336274,3.5966894604331054,,8.149251766713426e-35
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,47.39327665499989,7.239231060868471e-36
0.03,True,611919.6328491087,9.42477796076938,-3.6450274835063303,13.06980544427571,,0.0642033812041605
0.03,True,361195.87434382027,9.42477796076938,-4.300184763432055,13.724962724201434,,0.4121367469903939
0.03,True,145813.51130331116,9.42477796076938,5.9144002041617005,3.510377756607679,,0.3349072201764701
0.03,True,14892.54428894542,9.42477796076938,9.268563594536536,0.15621436623284346,,0.16692907594046313
0.03,True,inf,9.42477796076938,-94.07902290589922,103.5038008666686,,6.371660884597157e-28
0.03,True,86862030.02756526,9.42477796076938,0.9401808223106132,8.484597138458767,,0.08842797950425134
0.03,True,569.8553619298768,9.42477796076938,-22.64109471296531,32.06587267373469,,0.11845747639277636
0.03,True,13669.590508054605,9.42477796076938,-8.730253574613496,18.155031535382875,,0.30925926678804483
0.03,True,inf,9.42477796076938,7.086948425434658,2.3378295353347216,,2.1909624091125418e-36
0.03,True,inf,9.42477796076938,12.106977845016798,2.682199884247419,,0.3188698705275836
0.03,True,inf,9.42477796076938,-14.360404151390801,23.78518211216018,,0.4218957552024105
0.03,True,107034.99765008851,9.42477796076938,6.974270257797992,2.4505077029713878,,0.5160009804279723
0.03,True,18029168.10189428,9.42477796076938,1.5455391034378756,7.8792388573315035,,0.5496031937449963
0.03,True,16585.39813301391,9.42477796076938,7.536739985369021,1.8880379754003584,,0.18542400097023345
0.03,True,inf,9.42477796076938,1.3928364724185116,8.031941488350867,,0.25642823214253324
0.03,True,inf,9.42477796076938,9.193504009339962,0.23127395142941687,,9.059871209609397e-39
0.03,True,inf,9.42477796076938,10.526195543450783,1.1014175826814032,64.01991776671746,0.4582339977012075
0.03,True,419361.9895347932,9.42477796076938,3.735771787420092,5.689006173349288,,0.19014248735035322
0.03,True,6.489925139941579,9.42477796076938,-114.99999999999842,124.4247779607678,,0.1730054068278067
0.03,True,inf,9.42477796076938,1.8252781280612826,7.599499832708097,,0.3820005391713695
0.03,True,inf,9.42477796076938,2.2551927151725746,7.169585245596805,,0.49056719398331594
0.03,True,inf,9.42477796076938,1.0542729552939234,8.370505005475456,,0.5145540923221499
0.03,True,inf,9.42477796076938,1.8311090546233808,7.593668906145998,,0.46549915490224897
0.03,True,12014.832548896435,9.42477796076938,-10.531013437751593,19.955791398520972,,0.2288109546133987
0.03,True,inf,9.42477796076938,8.846555350248615,0.5782226105207648,,0.43325605673205997
0.03,True,26943455.49671478,9.42477796076938,-1.5454171330574193,10.9701950938268,,0.16479981365377766
0.03,True,5056905002.0155525,9.42477796076938,0.46596495302175633,8.958813007747622,,0.4063903516704149
0.03,True,1090901.9340708787,9.42477796076938,-3.1574012988685167,12.582179259637897,40.88134098829871,0.1494828851382282
0.03,True,16231.46792190677,9.42477796076938,-9.96328952873557,19.388067489504948,,0.23978455730342135
0.03,True,4192514.437850373,9.42477796076938,3.0772888910346814,6.3474890697346975,,0.5227992061432012
0.03,True,104986.33131368447,9.42477796076938,-5.691957180350759,15.116735141120138,,0.11471370947090152
0.03,True,inf,9.42477796076938,-0.7461776617830914,10.170955622552471,,0.16014563480285002
0.03,True,inf,9.42477796076938,35.2922265148245,25.86744855405512,,5.404689556178506e-41
0.03,True,11941154.497570466,9.42477796076938,1.7320838309320352,7.692694129837344,,0.3724269644055834
0.03,True,22614092.69097144,9.42477796076938,1.654553776666064,7.7702241841033155,,0.2697181854014428
0.03,True,670282.7372781484,9.42477796076938,-3.6017990671526436,13.026577027922023,,0.5295182367404029
0.03,True,inf,9.42477796076938,114.9999999885,105.57522202773062,,4.291195726782502e-37
0.03,True,inf,9.42477796076938,62.80461675742938,53.379838796659996,,1.0417623183913003e-40
0.03,True,9517.181406048294,9.42477796076938,-11.795921094532794,21.220699055302173,,0.1500968798679078
0.03,True,347813366.0682923,9.42477796076938,0.8310843000506881,8.59369366071869,,0.2405394681522702
0.03,True,inf,9.42477796076938,19.156562295230916,9.731784334461537,,0.1563616057377009
0.03,True,inf,9.42477796076938,51.58070556289473,42.155927602125345,,1.2353511719822574e-37
0.03,True,2474673.953513074,9.42477796076938,2.589650199590994,6.835127761178385,,0.4465221922491351
0.03,True,inf,9.42477796076938,7.146075115185905,2.2787028455834744,,0.49877094464399
0.03,True,inf,9.42477796076938,0.9005343921699505,8.524243568599429,,0.17993013280834483
0.03,True,6.3717631158613885,9.42477796076938,-114.99999999999999,124.42477796076936,,0.07220170579460045
0.03,True,2500146.661699579,9.42477796076938,-2.4800341432423854,11.904812104011764,,0.2375957444121332
0.03,True,inf,9.42477796076938,114.99999999999997,105.5752220392306,,3.505670822238691e-39
0.03,True,15277.534733305223,9.42477796076938,-7.9679193781051225,17.392697338874502,,0.20670042749448403
0.03,True,inf,9.42477796076938,-96.6478808990701,106.07265885983948,,2.4424885431050485e-37
0.03,True,7930.200327638426,9.42477796076938,12.33809084363942,2.9133128828700414,,0.4008542358277573
0.03,True,inf,9.42477796076938,-49.4720485931841,58.896826553953474,,4.740618023751792e-34
0.03,True,2828.4400700106926,9.42477796076938,-13.34528831801522,22.770066278784597,,0.40427553369003283
0.03,True,8949.394681501775,9.42477796076938,8.886263882162812,0.5385140786065676,,0.28272566576694236
0.03,True,inf,9.42477796076938,29.554772848630847,20.129994887861468,,2.2487156027733195e-28
0.03,True,inf,9.42477796076938,-3.328242096533308,12.753020057302688,,0.2238490307897562
0.03,True,718541.8207029307,9.42477796076938,4.189980035294031,5.234797925475348,,0.23033337603480164
0.03,True,4.7015201918934855,9.42477796076938,-105.13881614780396,114.56359410857334,,0.42944582122744746
0.03,True,5582.84648312321,9.42477796076938,-11.615299232319183,21.040077193088564,,0.6796496960213453
0.03,True,380.1053200386182,9.42477796076938,-37.62033110246488,47.045109063234264,,0.4356328398652291
0.03,True,inf,9.42477796076938,-1.3751578983044948,10.799935859073875,,0.1947845162402672
0.03,True,26030.04487859175,9.42477796076938,-7.064758164898241,16.48953612566762,,0.3927490038673248
0.03,True,21462.335760545633,9.42477796076938,9.363309382042045,0.06146857872733413,,0.2375931430487983
0.03,True,5475.876893874685,9.42477796076938,-14.201475465025634,23.626253425795014,,0.5140425051280803
0.03,True,44.305400866167254,9.42477796076938,-114.99999999999999,124.42477796076936,,0.04206856489486924
0.03,True,inf,9.42477796076938,3.442345609600724e-05,9.424743537313283,,0.08784203120264258
