t,ia,ib,ic,va,vb,vc,i_rms
0.2318,-1.9318216,-0.3853327,-0.25979585,-0.043770951,0.081616965,-0.037846014,1.4955656
0.2319,-1.8971847,-0.44701399,-0.28425059,-0.045915815,0.081469243,-0.035553428,1.4953359
0.232,-1.8609478,-0.50853937,-0.3084248,-0.048015366,0.081241121,-0.033225755,1.495076
0.2321,-1.8231468,-0.56984761,-0.33229464,-0.050067531,0.080932824,-0.030865292,1.4947856
0.2322,-1.7838186,-0.63087776,-0.35583654,-0.052070286,0.080544655,-0.028474369,1.4944642
0.2323,-1.7430019,-0.69156911,-0.37902728,-0.054021653,0.080076999,-0.026055346,1.4941117
0.2324,-1.7007369,-0.75186133,-0.40184396,-0.055919708,0.079530317,-0.023610609,1.4937275
0.2325,-1.6570651,-0.81169449,-0.42426407,-0.057762577,0.078905147,-0.021142571,1.4933116
0.2326,-1.6120294,-0.87100913,-0.44626548,-0.059548441,0.078202108,-0.018653667,1.4928637
0.2327,-1.5656741,-0.9297463,-0.46782648,-0.061275538,0.077421893,-0.016146355,1.4923837
0.2328,-1.5180446,-0.98784766,-0.4889258,-0.062942163,0.076565272,-0.013623109,1.4918713
0.2329,-1.4691879,-1.0452555,-0.5095426,-0.064546672,0.07563309,-0.011086418,1.4913267
0.233,-1.4191518,-1.1019127,-0.52965655,-0.066087482,0.074626267,-0.0085387859,1.4907497
0.2331,-1.3679856,-1.1577632,-0.54924778,-0.06756307,0.073545798,-0.0059827272,1.4901403
0.2332,-1.3157394,-1.2127514,-0.56829698,-0.068971983,0.072392747,-0.0034207644,1.4894988
0.2333,-1.2624646,-1.2668227,-0.58678534,-0.070312828,0.071168254,-0.00085542559,1.4888251
0.2334,-1.2082136,-1.3199235,-0.60469461,-0.071584283,0.069873526,0.0017107574,1.4881195
0.2335,-1.1530395,-1.3720011,-0.62200712,-0.072785093,0.068509841,0.004275252,1.4873823
0.2336,-1.0969966,-1.4230037,-0.63870578,-0.073914073,0.067078545,0.0068355275,1.4866137
0.2337,-1.0401398,-1.4728808,-0.65477412,-0.074970109,0.065581051,0.0093890572,1.4858141
0.2338,-0.98252506,-1.5215829,-0.67019628,-0.075952158,0.064018837,0.011933321,1.4849839
0.2339,-0.92420879,-1.5690616,-0.68495703,-0.076859251,0.062393443,0.014465808,1.4841236
0.234,-0.86524827,-1.61527,-0.69904181,-0.077690494,0.060706475,0.016984019,1.4832336
0.2341,-0.80570133,-1.660162,-0.71243673,-0.078445066,0.058959597,0.019485469,1.4823146
0.2342,-0.7456264,-1.7036933,-0.72512855,-0.079122221,0.057154533,0.021967689,1.4813671
0.2343,-0.68508241,-1.7458206,-0.73710476,-0.079721293,0.055293064,0.02442823,1.4803919
0.2344,-0.62412874,-1.7865021,-0.74835354,-0.08024169,0.053377027,0.026864662,1.4793897
0.2345,-0.56282514,-1.8256976,-0.75886378,-0.080682897,0.051408314,0.029274583,1.4783613
0.2346,-0.50123174,-1.8633681,-0.76862511,-0.081044481,0.049388867,0.031655613,1.4773075
0.2347,-0.43940891,-1.8994763,-0.77762791,-0.081326083,0.047320679,0.034005403,1.4762292
0.2348,-0.37741724,-1.9339865,-0.78586328,-0.081527426,0.045205792,0.036321634,1.4751273
0.2349,-0.31531748,-1.9668643,-0.7933231,-0.081648311,0.043046292,0.03860202,1.4740029
