t,ia,ib,ic,va,vb,vc,i_rms
0.8245,0.18832707,0.75886378,0.75886378,0.1383583,-0.088157059,-0.050201241,0.8571542
0.8246,0.15087308,0.76862511,0.76862511,0.13897836,-0.08469403,-0.054284328,0.85715226
0.8247,0.11327557,0.77762791,0.77762791,0.13946126,-0.081147418,-0.058313843,0.85715116
0.8248,0.075571671,0.78586328,0.78586328,0.13980653,-0.077520723,-0.062285809,0.85715068
0.8249,0.037798599,0.7933231,0.7933231,0.14001383,-0.073817524,-0.066196307,0.85715056
0.825,-6.3608571e-06,0.8,0.8,0.14008295,-0.070041477,-0.070041477,0.85715056
0.8251,-0.037805897,0.8058874,0.8058874,0.14001383,-0.066196307,-0.073817524,0.85715043
0.8252,-0.07556271,0.81097949,0.81097949,0.13980653,-0.062285809,-0.077520723,0.85714994
0.8253,-0.11323955,0.81527123,0.81527123,0.13946126,-0.058313843,-0.081147418,0.85714885
0.8254,-0.15079924,0.81875841,0.81875841,0.13897836,-0.054284328,-0.08469403,0.85714691
0.8255,-0.18820474,0.82143757,0.82143757,0.1383583,-0.050201241,-0.088157059,0.85714388
0.8256,-0.22541916,0.82330606,0.82330606,0.1376017,-0.046068611,-0.091533088,0.85713954
0.8257,-0.26240581,0.82436206,0.82436206,0.1367093,-0.041890517,-0.094818785,0.85713366
0.8258,-0.29912821,0.82460451,0.82460451,0.13568199,-0.037671083,-0.098010907,0.85712602
0.8259,-0.33555017,0.82403317,0.82403317,0.13452078,-0.033414471,-0.1011063,0.85711641
0.826,-0.37163579,0.82264861,0.82264861,0.13322681,-0.029124884,-0.10410192,0.85710462
0.8261,-0.4073495,0.8204522,0.8204522,0.13180136,-0.024806553,-0.1069948,0.85709046
0.8262,-0.44265613,0.8174461,0.8174461,0.13024584,-0.020463742,-0.10978209,0.85707373
0.8263,-0.47752088,0.81363328,0.81363328,0.12856178,-0.016100736,-0.11246104,0.85705427
0.8264,-0.51190942,0.8090175,0.8090175,0.12675085,-0.011721839,-0.11502901,0.85703191
0.8265,-0.54578788,0.80360332,0.80360332,0.12481483,-0.0073313753,-0.11748345,0.85700649
0.8266,-0.5791229,0.79739608,0.79739608,0.12275563,-0.002933676,-0.11982195,0.85697787
0.8267,-0.61188166,0.7904019,0.7904019,0.12057529,0.0014669184,-0.1220422,0.85694593
0.8268,-0.64403192,0.7826277,0.7826277,0.11827595,0.0058660653,-0.12414201,0.85691053
0.8269,-0.67554204,0.77408113,0.77408113,0.11585989,0.010259423,-0.12611931,0.8568716
0.827,-0.70638103,0.76477065,0.76477065,0.11332949,0.014642656,-0.12797215,0.85682902
0.8271,-0.73651853,0.75470542,0.75470542,0.11068725,0.019011438,-0.12969869,0.85678274
0.8272,-0.76592492,0.74389539,0.74389539,0.10793577,0.023361459,-0.13129723,0.85673269
0.8273,-0.79457128,0.73235123,0.73235123,0.10507777,0.027688424,-0.1327662,0.85667882
0.8274,-0.82242945,0.72008432,0.72008432,0.10211608,0.031988064,-0.13410414,0.85662111
0.8275,-0.84947205,0.70710678,0.70710678,0.099053606,0.036256136,-0.13530974,0.85655955
0.8276,-0.87567251,0.69343141,0.69343141,0.09589338,0.040488428,-0.13638181,0.85649412
0.8277,-0.90100511,0.67907171,0.67907171,0.092638519,0.044680762,-0.13731928,0.85642486
0.8278,-0.92544496,0.66404184,0.66404184,0.089292235,0.048829002,-0.13812124,0.85635178
0.8279,-0.94896808,0.64835665,0.64835665,0.08585783,0.052929053,-0.13878688,0.85627494
0.828,-0.97155139,0.6320316,0.6320316,0.082338694,0.05697687,-0.13931556,0.85619439
0.8281,-0.99317273,0.61508282,0.61508282,0.0787383,0.060968458,-0.13970676,0.85611022
0.8282,-1.0138109,0.59752702,0.59752702,0.0750602,0.064899877,-0.13996008,0.85602251
0.8283,-1.0334457,0.57938154,0.57938154,0.071308025,0.068767248,-0.14007527,0.85593136
0.8284,-1.0520579,0.56066428,0.56066428,0.067485478,0.072566753,-0.14005223,0.8558369
0.8285,-1.0696292,0.5413937,0.5413937,0.06359633,0.076294645,-0.13989097,0.85573925
0.8286,-1.0861425,0.52158884,0.52158884,0.059644421,0.079947242,-0.13959166,0.85563856
0.8287,-1.1015816,0.50126924,0.50126924,0.05563365,0.083520941,-0.13915459,0.85553497
0.8288,-1.1159315,0.48045494,0.48045494,0.051567975,0.087012216,-0.13858019,0.85542867
0.8289,-1.1291781,0.45916649,0.45916649,0.047451408,0.090417619,-0.13786903,0.85531981
0.829,-1.1413085,0.4374249,0.4374249,0.043288013,0.093733792,-0.1370218,0.8552086
0.8291,-1.1523109,0.41525162,0.41525162,0.039081898,0.09695746,-0.13603936,0.85509522
0.8292,-1.1621747,0.39266854,0.39266854,0.034837214,0.10008544,-0.13492266,0.85497989
0.8293,-1.1708902,0.36969795,0.36969795,0.03055815,0.10311465,-0.1336728,0.85486281
0.8294,-1.178449,0.3463625,0.3463625,0.026248928,0.1060421,-0.13229103,0.8547442
0.8295,-1.1848439,0.32268524,0.32268524,0.021913802,0.1088649,-0.1307787,0.85462429
0.8296,-1.1900686,0.29868953,0.29868953,0.01755705,0.11158026,-0.12913731,0.85450331
0.8297,-1.1941182,0.27439904,0.27439904,0.01318297,0.11418551,-0.12736848,0.8543815
0.8298,-1.1969889,0.24983776,0.24983776,0.0087958814,0.11667807,-0.12547395,0.85425909
0.8299,-1.1986779,0.22502992,0.22502992,0.0044001119,0.11905548,-0.12345559,0.85413632
0.83,-1.1991839,0.2,0.2,-2.0598396e-15,0.1213154,-0.1213154,0.85401344
0.8301,-1.1985064,0.1747727,0.1747727,-0.0044001119,0.12345559,-0.11905548,0.85389069
0.8302,-1.1966463,0.14937293,0.14937293,-0.0087958814,0.12547395,-0.11667807,0.8537683
0.8303,-1.1936057,0.12382574,0.12382574,-0.01318297,0.12736848,-0.11418551,0.85364653
0.8304,-1.1893876,0.098156353,0.098156353,-0.01755705,0.12913731,-0.11158026,0.8535256
0.8305,-1.1839964,0.072390096,0.072390096,-0.021913802,0.1307787,-0.1088649,0.85340576
0.8306,-1.1774376,0.046552398,0.046552398,-0.026248928,0.13229103,-0.1060421,0.85328723
0.8307,-1.1697179,0.020668759,0.020668759,-0.03055815,0.1336728,-0.10311465,0.85317024
0.8308,-1.160845,-0.0052352775,-0.0052352775,-0.034837214,0.13492266,-0.10008544,0.85305501
0.8309,-1.1508278,-0.031134148,-0.031134148,-0.039081898,0.13603936,-0.09695746,0.85294175
