dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,Rx_err_pct,J_final,n_iters,cpu_ms
pscad,72,0.1,5000.0,40.0,20.0,741.3991405902453,0.3595555090652124,9.436175102524164e-19,136,91.07125108130276
pscad,73,0.1,5000.0,40.0,30.0,181.09060949946627,0.0,1.9942611328490072e-12,5,68.68884712457657
pscad,74,0.1,5000.0,40.0,40.0,209.2138706991631,0.0,4.739146607444563e-12,3,55.4926220793277
pscad,75,0.1,5000.0,40.0,inf,172.11371102104428,0.0,2.4177825146290224e-12,3,54.75790589116514
pscad,76,0.1,5000.0,inf,20.0,107.96243554242633,0.0,3.3146459577867744e-11,5,62.96446803025901
pscad,77,0.1,5000.0,inf,30.0,60.60264779711338,0.0,5.074760328376546e-13,6,64.333203015849
pscad,78,0.1,5000.0,inf,40.0,202.46130263899803,0.0,2.861497907541559e-12,3,53.1500328797847
pscad,79,0.1,5000.0,inf,inf,182.06748170924556,0.0,1.8231193556309666e-12,4,53.40463109314442
pscad,80,0.2,100.0,20.0,20.0,21.93383379472788,0.0,1.7359013498930938e-11,4,59.77311497554183
pscad,81,0.2,100.0,20.0,30.0,11.910673729532165,0.0,1.0525948855253415e-08,3,61.3450868986547
pscad,82,0.2,100.0,20.0,40.0,8.298145807403484,0.13126677397157493,2.3033733916522976e-17,6,59.07587404362857
pscad,83,0.2,100.0,20.0,inf,25.32549865534364,0.11544018808388046,7.879882827027441e-18,6,63.8494819868356
pscad,84,0.2,100.0,30.0,20.0,2.4013099575886234,0.25969611805464865,4.095405446351075e-17,6,58.360044145956635
pscad,85,0.2,100.0,30.0,30.0,5.090622771331335,0.6923990633129904,6.248644730101196e-17,7,58.37948201224208
pscad,86,0.2,100.0,30.0,40.0,1.8540667334921435,0.021658939954932066,6.243504560476212e-17,6,59.06572798267007
pscad,87,0.2,100.0,30.0,inf,0.9684015011887648,0.0,6.373055102026186e-13,3,62.79155611991882
pscad,88,0.2,100.0,40.0,20.0,4.560334756800427,0.3364054651477062,2.87806493490392e-17,6,64.70500398427248
