dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2_mean,loc_improvement_frac,loc_improvement_pct
pscad,62,0.100,2000.0,inf,40.0,116.549380,242.000584,-1.076378,-107.6378
pscad,63,0.100,2000.0,inf,inf,135.224162,242.495963,-0.793289,-79.3289
pscad,64,0.100,5000.0,20.0,20.0,532.042791,99.900000,0.812233,81.2233
pscad,65,0.100,5000.0,20.0,30.0,50.000000,99.900000,-0.998000,-99.8000
pscad,66,0.100,5000.0,20.0,40.0,120.745225,99.900000,0.172638,17.2638
pscad,67,0.100,5000.0,20.0,inf,50.000000,99.900000,-0.998000,-99.8000
pscad,68,0.100,5000.0,30.0,20.0,462.280158,99.900000,0.783897,78.3897
pscad,69,0.100,5000.0,30.0,30.0,41.354118,99.900000,-1.415721,-141.5721
pscad,70,0.100,5000.0,30.0,40.0,202.534751,99.900000,0.506751,50.6751
pscad,71,0.100,5000.0,30.0,inf,347.554653,99.900000,0.712563,71.2563
pscad,72,0.100,5000.0,40.0,20.0,741.399141,99.900000,0.865255,86.5255
pscad,73,0.100,5000.0,40.0,30.0,181.090609,99.900000,0.448342,44.8342
pscad,74,0.100,5000.0,40.0,40.0,209.213871,99.900000,0.522498,52.2498
pscad,75,0.100,5000.0,40.0,inf,172.113711,99.900000,0.419570,41.9570
pscad,76,0.100,5000.0,inf,20.0,107.962436,99.900000,0.074678,7.4678
pscad,77,0.100,5000.0,inf,30.0,60.602648,99.900000,-0.648443,-64.8443
pscad,78,0.100,5000.0,inf,40.0,202.461303,99.900000,0.506572,50.6572
pscad,79,0.100,5000.0,inf,inf,182.067482,99.900000,0.451302,45.1302
pscad,80,0.200,100.0,20.0,20.0,21.933834,47.300763,-1.156521,-115.6521
pscad,81,0.200,100.0,20.0,30.0,11.910674,11.937215,-0.002228,-0.2228
pscad,82,0.200,100.0,20.0,40.0,8.298146,16.964822,-1.044411,-104.4411
pscad,83,0.200,100.0,20.0,inf,25.325499,52.182577,-1.060476,-106.0476
pscad,84,0.200,100.0,30.0,20.0,2.401310,22.239933,-8.261584,-826.1584
pscad,85,0.200,100.0,30.0,30.0,5.090623,22.061343,-3.333722,-333.3722
pscad,86,0.200,100.0,30.0,40.0,1.854067,27.054570,-13.592015,-1359.2015
pscad,87,0.200,100.0,30.0,inf,0.968402,22.320177,-22.048474,-2204.8474
pscad,88,0.200,100.0,40.0,20.0,4.560335,21.945245,-3.812201,-381.2201
pscad,89,0.200,100.0,40.0,30.0,3.104204,22.016576,-6.092502,-609.2502
pscad,90,0.200,100.0,40.0,40.0,1.032403,26.897011,-25.052820,-2505.2820
pscad,91,0.200,100.0,40.0,inf,0.921920,26.938162,-28.219633,-2821.9633
pscad,92,0.200,100.0,inf,20.0,2.971503,21.829023,-6.346121,-634.6121
pscad,93,0.200,100.0,inf,30.0,2.242045,27.071205,-11.074334,-1107.4334
pscad,94,0.200,100.0,inf,40.0,1.064087,26.965752,-24.341679,-2434.1679
pscad,95,0.200,100.0,inf,inf,0.082911,26.790176,-322.121197,-32212.1197
pscad,96,0.200,500.0,20.0,20.0,75.000000,99.950000,-0.332667,-33.2667
pscad,97,0.200,500.0,20.0,30.0,44.457502,41.284568,0.071370,7.1370
pscad,98,0.200,500.0,20.0,40.0,11.802894,14.201219,-0.203198,-20.3198
pscad,99,0.200,500.0,20.0,inf,75.000000,99.950000,-0.332667,-33.2667
pscad,100,0.200,500.0,30.0,20.0,36.768623,49.891796,-0.356912,-35.6912
pscad,101,0.200,500.0,30.0,30.0,83.245289,82.192000,0.012653,1.2653
pscad,102,0.200,500.0,30.0,40.0,6.758056,0.543814,0.919531,91.9531
pscad,103,0.200,500.0,30.0,inf,16.227855,10.873499,0.329948,32.9948
pscad,104,0.200,500.0,40.0,20.0,75.000000,95.997938,-0.279973,-27.9973
pscad,105,0.200,500.0,40.0,30.0,36.909350,31.528235,0.145793,14.5793
pscad,106,0.200,500.0,40.0,40.0,9.415643,19.007168,-1.018680,-101.8680
pscad,107,0.200,500.0,40.0,inf,3.658191,4.079541,-0.115180,-11.5180
pscad,108,0.200,500.0,inf,20.0,3.022477,4.023608,-0.331229,-33.1229
pscad,109,0.200,500.0,inf,30.0,8.986947,1.101858,0.877394,87.7394
pscad,110,0.200,500.0,inf,40.0,12.981855,6.033315,0.535250,53.5250
pscad,111,0.200,500.0,inf,inf,4.841289,3.881860,0.198176,19.8176
pscad,112,0.200,1000.0,20.0,20.0,43.943808,99.950000,-1.274496,-127.4496
pscad,113,0.200,1000.0,20.0,30.0,75.000000,99.950000,-0.332667,-33.2667
pscad,114,0.200,1000.0,20.0,40.0,75.000000,141.576124,-0.887682,-88.7682
pscad,115,0.200,1000.0,20.0,inf,6.740951,99.950000,-13.827286,-1382.7286
pscad,116,0.200,1000.0,30.0,20.0,233.734521,233.724237,0.000044,0.0044
pscad,117,0.200,1000.0,30.0,30.0,28.345763,99.950000,-2.526100,-252.6100
pscad,118,0.200,1000.0,30.0,40.0,23.016657,99.950000,-3.342507,-334.2507
pscad,119,0.200,1000.0,30.0,inf,28.551272,99.950000,-2.500720,-250.0720
pscad,120,0.200,1000.0,40.0,20.0,21.281924,99.950000,-3.696474,-369.6474
pscad,121,0.200,1000.0,40.0,30.0,38.406765,99.950000,-1.602406,-160.2406
pscad,122,0.200,1000.0,40.0,40.0,8.132040,99.950000,-11.290888,-1129.0888
pscad,123,0.200,1000.0,40.0,inf,26.042232,99.950000,-2.837997,-283.7997
pscad,124,0.200,1000.0,inf,20.0,15.612177,99.950000,-5.402054,-540.2054
pscad,125,0.200,1000.0,inf,30.0,2.790766,99.950000,-34.814536,-3481.4536
pscad,126,0.200,1000.0,inf,40.0,13.206074,99.950000,-6.568487,-656.8487
pscad,127,0.200,1000.0,inf,inf,18.127720,182.479063,-9.066300,-906.6300
pscad,128,0.200,2000.0,20.0,20.0,20.015162,80.843214,-3.039099,-303.9099
pscad,129,0.200,2000.0,20.0,30.0,49.628281,95.522134,-0.924752,-92.4752
pscad,130,0.200,2000.0,20.0,40.0,186.566430,188.757955,-0.011747,-1.1747
pscad,131,0.200,2000.0,20.0,inf,75.000000,99.950000,-0.332667,-33.2667
pscad,132,0.200,2000.0,30.0,20.0,75.000000,99.950000,-0.332667,-33.2667
pscad,133,0.200,2000.0,30.0,30.0,21.796546,26.278447,-0.205624,-20.5624
pscad,134,0.200,2000.0,30.0,40.0,28.967051,85.852612,-1.963802,-196.3802
pscad,135,0.200,2000.0,30.0,inf,38.039777,91.335928,-1.401064,-140.1064
pscad,136,0.200,2000.0,40.0,20.0,213.618874,208.370539,0.024569,2.4569
pscad,137,0.200,2000.0,40.0,30.0,173.132226,212.626239,-0.228115,-22.8115
pscad,138,0.200,2000.0,40.0,40.0,50.010657,106.581935,-1.131184,-113.1184
pscad,139,0.200,2000.0,40.0,inf,57.793762,117.320561,-1.029987,-102.9987
pscad,140,0.200,2000.0,inf,20.0,262.006131,259.080819,0.011165,1.1165
pscad,141,0.200,2000.0,inf,30.0,126.808943,152.288286,-0.200927,-20.0927
pscad,142,0.200,2000.0,inf,40.0,68.794669,132.408027,-0.924684,-92.4684
pscad,143,0.200,2000.0,inf,inf,56.642674,112.088366,-0.978868,-97.8868
pscad,144,0.200,5000.0,20.0,20.0,219.148077,99.950000,0.543916,54.3916
pscad,145,0.200,5000.0,20.0,30.0,75.000000,99.950000,-0.332667,-33.2667
pscad,146,0.200,5000.0,20.0,40.0,73.427839,99.950000,-0.361200,-36.1200
pscad,147,0.200,5000.0,20.0,inf,16.112131,99.950000,-5.203401,-520.3401
pscad,148,0.200,5000.0,30.0,20.0,135.390374,99.950000,0.261764,26.1764
pscad,149,0.200,5000.0,30.0,30.0,24.536017,99.950000,-3.073603,-307.3603
pscad,150,0.200,5000.0,30.0,40.0,24.525002,99.950000,-3.075433,-307.5433
pscad,151,0.200,5000.0,30.0,inf,150.441285,99.950000,0.335621,33.5621
pscad,152,0.200,5000.0,40.0,20.0,96.655231,99.950000,-0.034088,-3.4088
pscad,153,0.200,5000.0,40.0,30.0,51.713729,99.950000,-0.932756,-93.2756
pscad,154,0.200,5000.0,40.0,40.0,82.348418,99.950000,-0.213745,-21.3745
pscad,155,0.200,5000.0,40.0,inf,28.457189,99.950000,-2.512294,-251.2294
pscad,156,0.200,5000.0,inf,20.0,75.000000,99.950000,-0.332667,-33.2667
pscad,157,0.200,5000.0,inf,30.0,52.788222,99.950000,-0.893415,-89.3415
pscad,158,0.200,5000.0,inf,40.0,49.236816,99.950000,-1.029985,-102.9985
pscad,159,0.200,5000.0,inf,inf,62.680218,99.950000,-0.594602,-59.4602
pscad,160,0.300,100.0,20.0,20.0,10.765882,5.149267,0.521705,52.1705
pscad,161,0.300,100.0,20.0,30.0,7.778448,8.672716,-0.114967,-11.4967
pscad,162,0.300,100.0,20.0,40.0,2.131732,15.117878,-6.091830,-609.1830
pscad,163,0.300,100.0,20.0,inf,2.031029,14.994469,-6.382697,-638.2697
pscad,164,0.300,100.0,30.0,20.0,1.034629,15.288907,-13.777186,-1377.7186
pscad,165,0.300,100.0,30.0,30.0,3.656006,21.736538,-4.945433,-494.5433
pscad,166,0.300,100.0,30.0,40.0,0.041041,18.255302,-443.808129,-44380.8129
pscad,167,0.300,100.0,30.0,inf,1.995406,15.066033,-6.550361,-655.0361
pscad,168,0.300,100.0,40.0,20.0,11.956062,5.040923,0.578379,57.8379
pscad,169,0.300,100.0,40.0,30.0,1.484646,15.154014,-9.207157,-920.7157
pscad,170,0.300,100.0,40.0,40.0,1.092242,15.239405,-12.952408,-1295.2408
pscad,171,0.300,100.0,40.0,inf,0.849544,18.403710,-20.663052,-2066.3052
pscad,172,0.300,100.0,inf,20.0,1.405128,18.355776,-12.063415,-1206.3415
pscad,173,0.300,100.0,inf,30.0,2.791790,21.723914,-6.781356,-678.1356
pscad,174,0.300,100.0,inf,40.0,0.177153,18.254880,-102.045704,-10204.5704
pscad,175,0.300,100.0,inf,inf,0.102864,18.273595,-176.647326,-17664.7326
pscad,176,0.300,500.0,20.0,20.0,1.550895,2.093315,-0.349747,-34.9747
pscad,177,0.300,500.0,20.0,30.0,83.333333,99.966667,-0.199600,-19.9600
pscad,178,0.300,500.0,20.0,40.0,42.327737,41.691049,0.015042,1.5042
pscad,179,0.300,500.0,20.0,inf,32.605715,31.665329,0.028841,2.8841
pscad,180,0.300,500.0,30.0,20.0,14.559716,19.245304,-0.321819,-32.1819
pscad,181,0.300,500.0,30.0,30.0,16.714356,14.822475,0.113189,11.3189
pscad,182,0.300,500.0,30.0,40.0,12.542818,11.199338,0.107112,10.7112
pscad,183,0.300,500.0,30.0,inf,23.675376,24.441369,-0.032354,-3.2354
pscad,184,0.300,500.0,40.0,20.0,41.773201,44.721838,-0.070587,-7.0587
pscad,185,0.300,500.0,40.0,30.0,1.276772,2.102958,-0.647089,-64.7089
pscad,186,0.300,500.0,40.0,40.0,0.719004,2.194487,-2.052123,-205.2123
pscad,187,0.300,500.0,40.0,inf,4.527863,1.312453,0.710139,71.0139
pscad,188,0.300,500.0,inf,20.0,20.155152,22.585335,-0.120574,-12.0574
pscad,189,0.300,500.0,inf,30.0,5.274144,8.896797,-0.686870,-68.6870
pscad,190,0.300,500.0,inf,40.0,10.489915,8.021353,0.235327,23.5327
pscad,191,0.300,500.0,inf,inf,1.906985,0.827851,0.565885,56.5885
