dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,368,0.500,2000.0,20.0,20.0,90.000000,99.980000,0.632371
pscad,369,0.500,2000.0,20.0,30.0,90.000000,99.980000,0.983659
pscad,370,0.500,2000.0,20.0,40.0,90.000000,99.980000,1.073112
pscad,371,0.500,2000.0,20.0,inf,34.109704,23.113226,0.646345
pscad,372,0.500,2000.0,30.0,20.0,90.000000,86.189780,0.882921
pscad,373,0.500,2000.0,30.0,30.0,23.555323,27.547753,1.008421
pscad,374,0.500,2000.0,30.0,40.0,71.958144,52.141820,0.991622
pscad,375,0.500,2000.0,30.0,inf,1.520629,15.455317,0.993662
pscad,376,0.500,2000.0,40.0,20.0,36.813489,27.642524,1.084737
pscad,377,0.500,2000.0,40.0,30.0,41.044135,35.686576,1.027045
pscad,378,0.500,2000.0,40.0,40.0,54.370546,43.840716,1.005372
pscad,379,0.500,2000.0,40.0,inf,6.110792,19.348807,0.988509
pscad,380,0.500,2000.0,inf,20.0,60.683856,45.654105,1.040008
pscad,381,0.500,2000.0,inf,30.0,69.867493,53.843528,0.929640
pscad,382,0.500,2000.0,inf,40.0,21.723528,29.249299,0.986696
pscad,383,0.500,2000.0,inf,inf,18.988134,27.579891,0.977614
pscad,384,0.500,5000.0,20.0,20.0,90.000000,99.980000,5.459579
pscad,385,0.500,5000.0,20.0,30.0,7.559891,99.980000,4.731216
pscad,386,0.500,5000.0,20.0,40.0,90.000000,99.980000,5.104272
pscad,387,0.500,5000.0,20.0,inf,36.092668,99.980000,4.677418
pscad,388,0.500,5000.0,30.0,20.0,90.000000,99.980000,4.455245
pscad,389,0.500,5000.0,30.0,30.0,17.397865,99.980000,4.800780
pscad,390,0.500,5000.0,30.0,40.0,32.656002,99.980000,4.798200
pscad,391,0.500,5000.0,30.0,inf,23.156816,99.980000,4.805455
pscad,392,0.500,5000.0,40.0,20.0,90.000000,99.980000,4.776018
pscad,393,0.500,5000.0,40.0,30.0,17.874573,99.980000,4.928516
pscad,394,0.500,5000.0,40.0,40.0,26.409412,99.980000,4.779536
pscad,395,0.500,5000.0,40.0,inf,9.174532,99.980000,4.842239
pscad,396,0.500,5000.0,inf,20.0,19.198602,99.980000,4.789080
pscad,397,0.500,5000.0,inf,30.0,8.746434,99.980000,4.851104
pscad,398,0.500,5000.0,inf,40.0,8.361822,99.980000,4.835365
pscad,399,0.500,5000.0,inf,inf,12.459563,99.980000,4.836241
pscad,400,0.600,100.0,20.0,20.0,0.528721,9.953557,7.341546
pscad,401,0.600,100.0,20.0,30.0,5.735603,6.385970,7.276832
pscad,402,0.600,100.0,20.0,40.0,4.136743,13.168360,7.657400
pscad,403,0.600,100.0,20.0,inf,2.528962,13.087783,7.480965
pscad,404,0.600,100.0,30.0,20.0,0.880266,9.747082,7.447420
pscad,405,0.600,100.0,30.0,30.0,0.411416,11.439032,7.320771
pscad,406,0.600,100.0,30.0,40.0,2.966370,6.517673,7.477301
pscad,407,0.600,100.0,30.0,inf,1.431018,8.158019,7.497274
pscad,408,0.600,100.0,40.0,20.0,5.367249,6.408921,7.299027
pscad,409,0.600,100.0,40.0,30.0,1.403061,8.226360,7.452093
pscad,410,0.600,100.0,40.0,40.0,0.871430,9.697085,7.483092
pscad,411,0.600,100.0,40.0,inf,0.951557,9.682451,7.484719
pscad,412,0.600,100.0,inf,20.0,6.014717,16.387073,7.550902
pscad,413,0.600,100.0,inf,30.0,0.088118,9.690479,7.584179
pscad,414,0.600,100.0,inf,40.0,1.374670,8.191915,7.479434
pscad,415,0.600,100.0,inf,inf,0.345278,11.172297,7.509395
pscad,416,0.600,500.0,20.0,20.0,6.364387,5.500093,1.056359
pscad,417,0.600,500.0,20.0,30.0,27.773570,33.086635,0.999742
pscad,418,0.600,500.0,20.0,40.0,36.950520,37.543532,0.959076
pscad,419,0.600,500.0,20.0,inf,36.692999,41.459613,1.054804
pscad,420,0.600,500.0,30.0,20.0,4.262680,2.447224,1.105544
pscad,421,0.600,500.0,30.0,30.0,9.439173,7.265747,0.966922
pscad,422,0.600,500.0,30.0,40.0,0.134237,2.741563,1.008375
pscad,423,0.600,500.0,30.0,inf,6.684145,4.005297,0.987694
pscad,424,0.600,500.0,40.0,20.0,16.291550,21.394682,0.941845
pscad,425,0.600,500.0,40.0,30.0,15.383465,13.998299,0.985756
pscad,426,0.600,500.0,40.0,40.0,0.103929,2.951003,0.947684
pscad,427,0.600,500.0,40.0,inf,3.355094,6.313033,0.962325
pscad,428,0.600,500.0,inf,20.0,0.894725,2.768112,1.068399
pscad,429,0.600,500.0,inf,30.0,9.588585,12.973969,0.991176
pscad,430,0.600,500.0,inf,40.0,1.650397,1.129747,0.983766
pscad,431,0.600,500.0,inf,inf,0.713316,2.772715,0.958131
pscad,432,0.600,1000.0,20.0,20.0,30.615628,99.983333,10.982425
pscad,433,0.600,1000.0,20.0,30.0,41.436737,99.983333,10.975289
pscad,434,0.600,1000.0,20.0,40.0,26.097976,99.983333,11.001586
pscad,435,0.600,1000.0,20.0,inf,87.636483,99.983333,11.108386
pscad,436,0.600,1000.0,30.0,20.0,58.333333,66.650000,11.037366
pscad,437,0.600,1000.0,30.0,30.0,2.577557,99.983333,11.091264
pscad,438,0.600,1000.0,30.0,40.0,3.576613,99.983333,11.063535
pscad,439,0.600,1000.0,30.0,inf,0.655610,99.983333,11.044452
pscad,440,0.600,1000.0,40.0,20.0,56.783930,66.650000,10.988121
pscad,441,0.600,1000.0,40.0,30.0,7.470836,99.983333,11.079549
pscad,442,0.600,1000.0,40.0,40.0,3.426191,99.983333,11.083175
pscad,443,0.600,1000.0,40.0,inf,2.687995,99.983333,11.093415
pscad,444,0.600,1000.0,inf,20.0,19.495113,99.983333,11.095861
pscad,445,0.600,1000.0,inf,30.0,1.416163,99.983333,11.034229
pscad,446,0.600,1000.0,inf,40.0,4.879931,99.983333,11.087594
pscad,447,0.600,1000.0,inf,inf,1.815059,11.923013,12.064709
pscad,448,0.600,2000.0,20.0,20.0,75.857723,93.161752,1.144722
pscad,449,0.600,2000.0,20.0,30.0,58.333333,41.550692,1.216157
pscad,450,0.600,2000.0,20.0,40.0,48.787655,24.604817,0.978047
pscad,451,0.600,2000.0,20.0,inf,34.359006,26.983047,0.824624
pscad,452,0.600,2000.0,30.0,20.0,58.333333,35.593585,0.662792
pscad,453,0.600,2000.0,30.0,30.0,36.270902,25.258296,0.929384
pscad,454,0.600,2000.0,30.0,40.0,56.117817,33.399069,0.939587
pscad,455,0.600,2000.0,30.0,inf,10.430939,11.171865,1.005358
pscad,456,0.600,2000.0,40.0,20.0,42.491466,12.533415,0.904186
pscad,457,0.600,2000.0,40.0,30.0,18.962328,18.385088,0.925345
pscad,458,0.600,2000.0,40.0,40.0,15.284912,14.683488,0.982902
pscad,459,0.600,2000.0,40.0,inf,25.971999,19.741939,0.986239
pscad,460,0.600,2000.0,inf,20.0,58.333333,66.650000,0.872809
pscad,461,0.600,2000.0,inf,30.0,2.959466,9.639014,0.960290
pscad,462,0.600,2000.0,inf,40.0,33.241721,23.016093,0.995581
pscad,463,0.600,2000.0,inf,inf,18.147428,16.476349,0.970464
pscad,464,0.600,5000.0,20.0,20.0,91.666667,99.983333,5.200534
pscad,465,0.600,5000.0,20.0,30.0,24.432001,99.983333,4.747191
pscad,466,0.600,5000.0,20.0,40.0,64.798385,99.983333,4.799669
pscad,467,0.600,5000.0,20.0,inf,51.886965,99.983333,4.687926
pscad,468,0.600,5000.0,30.0,20.0,56.238679,99.983333,4.424277
pscad,469,0.600,5000.0,30.0,30.0,58.853747,99.983333,4.638714
pscad,470,0.600,5000.0,30.0,40.0,29.663321,99.983333,4.812357
pscad,471,0.600,5000.0,30.0,inf,36.803412,99.983333,4.815221
pscad,472,0.600,5000.0,40.0,20.0,91.666667,99.983333,4.858285
pscad,473,0.600,5000.0,40.0,30.0,33.194935,99.983333,4.709858
pscad,474,0.600,5000.0,40.0,40.0,34.910432,99.983333,4.817587
pscad,475,0.600,5000.0,40.0,inf,27.484915,99.983333,4.810442
pscad,476,0.600,5000.0,inf,20.0,4.288708,99.983333,4.956834
pscad,477,0.600,5000.0,inf,30.0,33.837276,99.983333,4.802987
pscad,478,0.600,5000.0,inf,40.0,23.910220,99.983333,4.855768
pscad,479,0.600,5000.0,inf,inf,22.629323,99.983333,4.849489
pscad,480,0.700,100.0,20.0,20.0,2.700231,5.603622,7.617119
pscad,481,0.700,100.0,20.0,30.0,0.348346,8.571845,7.559928
pscad,482,0.700,100.0,20.0,40.0,1.967208,5.694988,7.673958
pscad,483,0.700,100.0,20.0,inf,2.819574,11.511790,7.477010
pscad,484,0.700,100.0,30.0,20.0,0.318731,7.165164,7.695600
pscad,485,0.700,100.0,30.0,30.0,0.719781,8.518289,7.472301
pscad,486,0.700,100.0,30.0,40.0,1.362299,8.468941,7.434067
pscad,487,0.700,100.0,30.0,inf,1.229092,7.167000,7.507866
pscad,488,0.700,100.0,40.0,20.0,2.635153,5.599942,7.648986
pscad,489,0.700,100.0,40.0,30.0,0.538456,8.517568,7.494712
pscad,490,0.700,100.0,40.0,40.0,0.557716,9.892159,7.511635
pscad,491,0.700,100.0,40.0,inf,0.977657,8.445052,7.498625
pscad,492,0.700,100.0,inf,20.0,0.811343,9.969492,7.481662
pscad,493,0.700,100.0,inf,30.0,0.062753,8.534572,7.554489
pscad,494,0.700,100.0,inf,40.0,0.150921,8.575179,7.496234
pscad,495,0.700,100.0,inf,inf,0.390829,9.748451,7.509721
pscad,496,0.700,500.0,20.0,20.0,11.375170,25.749438,0.630323
pscad,497,0.700,500.0,20.0,30.0,1.599672,6.847659,0.932723
pscad,498,0.700,500.0,20.0,40.0,6.435681,4.697796,1.088595
pscad,499,0.700,500.0,20.0,inf,9.176231,14.157271,0.961348
pscad,500,0.700,500.0,30.0,20.0,7.185137,4.572486,0.991779
pscad,501,0.700,500.0,30.0,30.0,5.459494,9.922958,0.944528
pscad,502,0.700,500.0,30.0,40.0,2.390275,5.435771,1.038105
pscad,503,0.700,500.0,30.0,inf,10.009530,7.429162,0.967754
pscad,504,0.700,500.0,40.0,20.0,25.534244,26.796890,1.229951
pscad,505,0.700,500.0,40.0,30.0,1.063272,2.669377,0.954947
pscad,506,0.700,500.0,40.0,40.0,1.172185,5.496017,0.952477
pscad,507,0.700,500.0,40.0,inf,1.485813,5.483987,0.973339
pscad,508,0.700,500.0,inf,20.0,25.394051,23.490787,0.978516
pscad,509,0.700,500.0,inf,30.0,1.513767,6.882877,0.917845
pscad,510,0.700,500.0,inf,40.0,1.730333,2.555849,0.952467
pscad,511,0.700,500.0,inf,inf,1.066058,2.656191,0.958976
pscad,512,0.700,1000.0,20.0,20.0,31.153890,99.985714,11.048613
pscad,513,0.700,1000.0,20.0,30.0,6.973575,99.985714,11.017871
pscad,514,0.700,1000.0,20.0,40.0,34.191413,99.985714,11.164476
pscad,515,0.700,1000.0,20.0,inf,29.747985,99.985714,11.215750
pscad,516,0.700,1000.0,30.0,20.0,11.847195,99.985714,11.116978
pscad,517,0.700,1000.0,30.0,30.0,32.098689,99.985714,11.040947
pscad,518,0.700,1000.0,30.0,40.0,1.470227,99.985714,11.093989
pscad,519,0.700,1000.0,30.0,inf,11.304819,99.985714,10.994506
pscad,520,0.700,1000.0,40.0,20.0,37.988094,99.985714,11.023400
pscad,521,0.700,1000.0,40.0,30.0,7.927455,99.985714,11.058629
pscad,522,0.700,1000.0,40.0,40.0,1.273795,99.985714,11.077634
pscad,523,0.700,1000.0,40.0,inf,3.772083,99.985714,11.104639
pscad,524,0.700,1000.0,inf,20.0,39.643831,99.985714,11.110599
pscad,525,0.700,1000.0,inf,30.0,7.911015,99.985714,11.135174
pscad,526,0.700,1000.0,inf,40.0,3.408504,99.985714,11.093731
pscad,527,0.700,1000.0,inf,inf,1.209938,0.864834,12.063927
pscad,528,0.700,2000.0,20.0,20.0,76.534048,99.985714,1.313368
pscad,529,0.700,2000.0,20.0,30.0,6.725840,4.632259,0.986474
pscad,530,0.700,2000.0,20.0,40.0,35.714286,24.109301,1.096711
pscad,531,0.700,2000.0,20.0,inf,35.714286,22.235690,0.810262
pscad,532,0.700,2000.0,30.0,20.0,35.714286,42.842857,1.250637
pscad,533,0.700,2000.0,30.0,30.0,23.552304,7.571977,0.874364
pscad,534,0.700,2000.0,30.0,40.0,7.288969,0.023127,1.026791
pscad,535,0.700,2000.0,30.0,inf,2.637859,0.022299,0.971407
pscad,536,0.700,2000.0,40.0,20.0,35.714286,42.842857,0.979616
pscad,537,0.700,2000.0,40.0,30.0,35.714286,21.098157,0.971464
pscad,538,0.700,2000.0,40.0,40.0,23.523243,10.107369,0.940745
pscad,539,0.700,2000.0,40.0,inf,20.698763,8.543946,0.970828
pscad,540,0.700,2000.0,inf,20.0,35.714286,18.588065,0.857473
pscad,541,0.700,2000.0,inf,30.0,8.010954,4.634162,0.973674
pscad,542,0.700,2000.0,inf,40.0,10.235559,4.146272,0.968628
pscad,543,0.700,2000.0,inf,inf,18.986499,8.351509,0.965794
pscad,544,0.700,5000.0,20.0,20.0,92.857143,99.985714,5.303006
pscad,545,0.700,5000.0,20.0,30.0,67.560464,99.985714,4.749362
pscad,546,0.700,5000.0,20.0,40.0,64.135074,99.985714,4.613737
pscad,547,0.700,5000.0,20.0,inf,92.857143,99.985714,4.646529
pscad,548,0.700,5000.0,30.0,20.0,11.166818,99.985714,4.943481
pscad,549,0.700,5000.0,30.0,30.0,44.909748,99.985714,4.843307
pscad,550,0.700,5000.0,30.0,40.0,56.165136,99.985714,4.802670
pscad,551,0.700,5000.0,30.0,inf,21.257012,99.985714,4.896077
pscad,552,0.700,5000.0,40.0,20.0,30.842869,99.985714,4.841110
pscad,553,0.700,5000.0,40.0,30.0,16.956679,99.985714,4.924788
pscad,554,0.700,5000.0,40.0,40.0,15.361911,99.985714,4.927482
pscad,555,0.700,5000.0,40.0,inf,30.825211,99.985714,4.847280
pscad,556,0.700,5000.0,inf,20.0,92.857143,99.985714,4.836080
pscad,557,0.700,5000.0,inf,30.0,32.111543,99.985714,4.843353
pscad,558,0.700,5000.0,inf,40.0,33.477598,99.985714,4.850772
pscad,559,0.700,5000.0,inf,inf,30.807635,99.985714,4.859216
pscad,560,0.800,100.0,20.0,20.0,0.023279,7.658035,7.519015
pscad,561,0.800,100.0,20.0,30.0,2.109653,6.335011,7.456422
pscad,562,0.800,100.0,20.0,40.0,1.109744,8.858246,7.560967
pscad,563,0.800,100.0,20.0,inf,2.927697,10.178778,7.590362
pscad,564,0.800,100.0,30.0,20.0,0.503548,6.353860,7.738396
pscad,565,0.800,100.0,30.0,30.0,0.261732,8.794053,7.503092
pscad,566,0.800,100.0,30.0,40.0,0.046101,7.699220,7.492310
pscad,567,0.800,100.0,30.0,inf,1.533438,6.405237,7.472188
pscad,568,0.800,100.0,40.0,20.0,3.567701,5.032214,7.460202
pscad,569,0.800,100.0,40.0,30.0,2.155482,6.315646,7.467093
pscad,570,0.800,100.0,40.0,40.0,0.944593,7.537415,7.500518
pscad,571,0.800,100.0,40.0,inf,0.736543,7.560714,7.508088
pscad,572,0.800,100.0,inf,20.0,2.896808,5.045737,7.538458
pscad,573,0.800,100.0,inf,30.0,0.875101,8.828170,7.555547
pscad,574,0.800,100.0,inf,40.0,0.366418,7.643847,7.485335
pscad,575,0.800,100.0,inf,inf,0.427537,8.679624,7.510117
pscad,576,0.800,500.0,20.0,20.0,18.750000,24.987500,1.038624
pscad,577,0.800,500.0,20.0,30.0,18.750000,24.987500,0.997353
pscad,578,0.800,500.0,20.0,40.0,17.340462,16.611975,1.151199
pscad,579,0.800,500.0,20.0,inf,3.391011,4.881329,0.805956
pscad,580,0.800,500.0,30.0,20.0,23.827685,24.192705,1.233677
pscad,581,0.800,500.0,30.0,30.0,1.851889,1.274096,1.003967
pscad,582,0.800,500.0,30.0,40.0,2.588040,2.504945,0.914296
pscad,583,0.800,500.0,30.0,inf,0.197413,4.982933,0.954676
pscad,584,0.800,500.0,40.0,20.0,11.289232,9.067295,1.079153
pscad,585,0.800,500.0,40.0,30.0,2.533314,1.111071,1.015742
pscad,586,0.800,500.0,40.0,40.0,2.270708,7.376470,0.980534
pscad,587,0.800,500.0,40.0,inf,0.967159,3.671502,0.966978
pscad,588,0.800,500.0,inf,20.0,6.314070,3.967192,1.076182
pscad,589,0.800,500.0,inf,30.0,4.064127,8.687656,0.998593
pscad,590,0.800,500.0,inf,40.0,1.126371,3.667805,0.959887
pscad,591,0.800,500.0,inf,inf,1.352615,3.620657,0.961676
pscad,592,0.800,1000.0,20.0,20.0,14.050144,99.987500,11.132851
pscad,593,0.800,1000.0,20.0,30.0,11.262419,99.987500,11.237119
pscad,594,0.800,1000.0,20.0,40.0,14.573229,24.987500,11.116471
pscad,595,0.800,1000.0,20.0,inf,40.531637,99.987500,11.041586
pscad,596,0.800,1000.0,30.0,20.0,18.750000,24.987500,11.073504
pscad,597,0.800,1000.0,30.0,30.0,10.127124,99.987500,11.017862
pscad,598,0.800,1000.0,30.0,40.0,1.544488,99.987500,11.026159
pscad,599,0.800,1000.0,30.0,inf,0.877464,99.987500,11.094073
pscad,600,0.800,1000.0,40.0,20.0,18.750000,24.987500,11.037124
pscad,601,0.800,1000.0,40.0,30.0,0.639868,99.987500,11.077157
pscad,602,0.800,1000.0,40.0,40.0,4.118926,99.987500,11.061201
pscad,603,0.800,1000.0,40.0,inf,0.544732,99.987500,11.054733
pscad,604,0.800,1000.0,inf,20.0,13.904977,99.987500,11.112630
pscad,605,0.800,1000.0,inf,30.0,18.750000,24.987500,11.070465
pscad,606,0.800,1000.0,inf,40.0,4.167576,99.987500,11.099550
pscad,607,0.800,1000.0,inf,inf,0.825010,8.835886,12.068184
pscad,608,0.800,2000.0,20.0,20.0,62.034400,35.610106,0.868431
pscad,609,0.800,2000.0,20.0,30.0,18.750000,24.987500,1.070326
pscad,610,0.800,2000.0,20.0,40.0,77.602866,45.952929,0.859395
pscad,611,0.800,2000.0,20.0,inf,18.750000,24.946645,0.935989
pscad,612,0.800,2000.0,30.0,20.0,18.750000,23.829578,0.978178
pscad,613,0.800,2000.0,30.0,30.0,18.750000,24.987500,1.037626
pscad,614,0.800,2000.0,30.0,40.0,18.750000,22.307232,1.016967
pscad,615,0.800,2000.0,30.0,inf,18.750000,6.082490,0.924842
pscad,616,0.800,2000.0,40.0,20.0,0.960382,16.626754,1.172686
pscad,617,0.800,2000.0,40.0,30.0,26.243231,25.419762,1.056962
pscad,618,0.800,2000.0,40.0,40.0,15.021854,1.130924,0.958066
pscad,619,0.800,2000.0,40.0,inf,12.990787,2.368250,0.982271
pscad,620,0.800,2000.0,inf,20.0,28.633600,15.022532,0.799778
pscad,621,0.800,2000.0,inf,30.0,18.750000,9.553885,0.909606
pscad,622,0.800,2000.0,inf,40.0,18.750000,4.678080,0.968094
pscad,623,0.800,2000.0,inf,inf,18.750000,1.255867,0.963609
pscad,624,0.800,5000.0,20.0,20.0,93.750000,99.987500,4.417785
pscad,625,0.800,5000.0,20.0,30.0,33.574460,99.987500,4.813124
pscad,626,0.800,5000.0,20.0,40.0,32.587093,99.987500,4.793667
pscad,627,0.800,5000.0,20.0,inf,21.538172,99.987500,5.042019
pscad,628,0.800,5000.0,30.0,20.0,21.095178,99.987500,5.191318
pscad,629,0.800,5000.0,30.0,30.0,71.549746,99.987500,4.699665
pscad,630,0.800,5000.0,30.0,40.0,45.351080,99.987500,4.802842
pscad,631,0.800,5000.0,30.0,inf,43.137889,99.987500,4.794728
pscad,632,0.800,5000.0,40.0,20.0,52.491169,99.987500,4.751238
pscad,633,0.800,5000.0,40.0,30.0,26.418115,99.987500,4.909960
pscad,634,0.800,5000.0,40.0,40.0,34.261925,99.987500,4.894030
pscad,635,0.800,5000.0,40.0,inf,34.993375,99.987500,4.877706
pscad,636,0.800,5000.0,inf,20.0,77.908555,99.987500,4.653348
pscad,637,0.800,5000.0,inf,30.0,36.175852,99.987500,4.863302
pscad,638,0.800,5000.0,inf,40.0,36.308396,99.987500,4.878551
pscad,639,0.800,5000.0,inf,inf,37.717501,99.987500,4.865425
pscad,640,0.900,100.0,20.0,20.0,6.825564,2.361661,7.262681
pscad,641,0.900,100.0,20.0,30.0,5.555556,10.995016,7.527895
pscad,642,0.900,100.0,20.0,40.0,3.479253,10.423052,7.453638
pscad,643,0.900,100.0,20.0,inf,4.033887,3.584932,7.410008
pscad,644,0.900,100.0,30.0,20.0,0.484869,5.793479,7.655042
pscad,645,0.900,100.0,30.0,30.0,0.112152,7.947096,7.467213
pscad,646,0.900,100.0,30.0,40.0,0.924251,6.930843,7.407738
pscad,647,0.900,100.0,30.0,inf,0.518478,6.828106,7.563547
pscad,648,0.900,100.0,40.0,20.0,2.176288,5.722488,7.464883
pscad,649,0.900,100.0,40.0,30.0,0.657467,8.007376,7.521938
pscad,650,0.900,100.0,40.0,40.0,0.769152,6.867596,7.489433
pscad,651,0.900,100.0,40.0,inf,0.853362,6.847639,7.496028
pscad,652,0.900,100.0,inf,20.0,1.037343,7.970729,7.612927
pscad,653,0.900,100.0,inf,30.0,0.398205,7.998993,7.492140
pscad,654,0.900,100.0,inf,40.0,0.991015,6.815393,7.506430
pscad,655,0.900,100.0,inf,inf,0.456822,7.847496,7.510604
pscad,656,0.900,500.0,20.0,20.0,12.300521,8.963170,1.005138
pscad,657,0.900,500.0,20.0,30.0,5.555556,11.100000,1.110237
pscad,658,0.900,500.0,20.0,40.0,4.410430,10.949821,0.776345
pscad,659,0.900,500.0,20.0,inf,10.704722,4.543587,0.890719
pscad,660,0.900,500.0,30.0,20.0,3.084066,6.732828,1.057752
pscad,661,0.900,500.0,30.0,30.0,0.784204,4.539708,0.959758
pscad,662,0.900,500.0,30.0,40.0,3.695549,2.242749,0.930367
pscad,663,0.900,500.0,30.0,inf,1.190407,7.765614,0.949086
pscad,664,0.900,500.0,40.0,20.0,5.555556,11.100000,0.950487
pscad,665,0.900,500.0,40.0,30.0,5.042231,10.263592,0.967759
pscad,666,0.900,500.0,40.0,40.0,0.843785,6.695502,0.965187
pscad,667,0.900,500.0,40.0,inf,1.582402,4.419095,0.954023
pscad,668,0.900,500.0,inf,20.0,16.978201,12.413446,0.934034
pscad,669,0.900,500.0,inf,30.0,7.574504,4.482748,1.041823
pscad,670,0.900,500.0,inf,40.0,0.659783,4.534451,0.966944
pscad,671,0.900,500.0,inf,inf,1.612341,3.436250,0.963103
pscad,672,0.900,1000.0,20.0,20.0,5.555556,8.892854,12.419538
pscad,673,0.900,1000.0,20.0,30.0,5.555556,11.100000,11.077898
pscad,674,0.900,1000.0,20.0,40.0,21.533172,99.988889,11.095546
pscad,675,0.900,1000.0,20.0,inf,5.555556,11.100000,10.943462
pscad,676,0.900,1000.0,30.0,20.0,7.280586,99.988889,11.170440
pscad,677,0.900,1000.0,30.0,30.0,0.342242,99.988889,11.115869
pscad,678,0.900,1000.0,30.0,40.0,5.555556,11.100000,11.020412
pscad,679,0.900,1000.0,30.0,inf,5.136953,11.100000,11.007899
pscad,680,0.900,1000.0,40.0,20.0,32.202784,99.988889,11.165949
pscad,681,0.900,1000.0,40.0,30.0,5.555556,11.100000,11.036073
pscad,682,0.900,1000.0,40.0,40.0,2.942270,99.988889,11.093700
pscad,683,0.900,1000.0,40.0,inf,0.091924,99.988889,11.084575
pscad,684,0.900,1000.0,inf,20.0,5.555556,11.100000,11.111058
pscad,685,0.900,1000.0,inf,30.0,5.555556,11.100000,11.010027
pscad,686,0.900,1000.0,inf,40.0,5.555556,11.100000,11.028366
pscad,687,0.900,1000.0,inf,inf,0.513196,16.413319,12.077296
pscad,688,0.900,2000.0,20.0,20.0,5.555556,11.100000,0.564186
pscad,689,0.900,2000.0,20.0,30.0,4.515486,13.330487,0.855454
pscad,690,0.900,2000.0,20.0,40.0,5.555556,6.563036,0.613294
pscad,691,0.900,2000.0,20.0,inf,66.218611,46.142465,0.920451
pscad,692,0.900,2000.0,30.0,20.0,76.292694,52.994393,0.910059
pscad,693,0.900,2000.0,30.0,30.0,5.555556,11.100000,1.159118
pscad,694,0.900,2000.0,30.0,40.0,5.555556,0.161552,0.856815
pscad,695,0.900,2000.0,30.0,inf,5.555556,11.100000,1.079598
pscad,696,0.900,2000.0,40.0,20.0,28.001430,19.792678,0.722601
pscad,697,0.900,2000.0,40.0,30.0,5.555556,8.920777,0.937115
pscad,698,0.900,2000.0,40.0,40.0,5.555556,5.842812,0.966437
pscad,699,0.900,2000.0,40.0,inf,5.555556,2.612735,0.973009
pscad,700,0.900,2000.0,inf,20.0,5.555556,11.100000,0.925280
pscad,701,0.900,2000.0,inf,30.0,5.555556,0.352167,0.962491
pscad,702,0.900,2000.0,inf,40.0,5.555556,0.321707,0.935333
pscad,703,0.900,2000.0,inf,inf,5.555556,2.850283,0.964093
pscad,704,0.900,5000.0,20.0,20.0,70.049368,99.988889,4.080039
pscad,705,0.900,5000.0,20.0,30.0,32.676979,99.988889,4.928730
pscad,706,0.900,5000.0,20.0,40.0,63.614019,99.988889,4.419427
pscad,707,0.900,5000.0,20.0,inf,94.444444,99.988889,4.398791
pscad,708,0.900,5000.0,30.0,20.0,32.196257,99.988889,4.935898
pscad,709,0.900,5000.0,30.0,30.0,30.486107,99.988889,4.955113
pscad,710,0.900,5000.0,30.0,40.0,30.427472,99.988889,4.977682
pscad,711,0.900,5000.0,30.0,inf,56.310268,99.988889,4.783624
pscad,712,0.900,5000.0,40.0,20.0,29.913171,11.100000,5.023365
pscad,713,0.900,5000.0,40.0,30.0,39.765118,99.988889,4.860642
pscad,714,0.900,5000.0,40.0,40.0,42.532011,99.988889,4.874384
pscad,715,0.900,5000.0,40.0,inf,42.009761,99.988889,4.894028
pscad,716,0.900,5000.0,inf,20.0,76.258179,99.988889,4.524617
pscad,717,0.900,5000.0,inf,30.0,52.365161,99.988889,4.827107
pscad,718,0.900,5000.0,inf,40.0,43.511673,99.988889,4.867918
pscad,719,0.900,5000.0,inf,inf,43.737844,99.988889,4.868118
emtp,0,0.100,100.0,20.0,20.0,30.826989,13.012540,7.654986
emtp,1,0.100,100.0,20.0,30.0,17.641665,32.698716,7.449647
emtp,2,0.100,100.0,20.0,40.0,17.208216,63.789143,7.456162
emtp,3,0.100,100.0,20.0,inf,4.748868,42.908530,7.516749
emtp,4,0.100,100.0,30.0,20.0,14.490954,72.985563,7.314349
emtp,5,0.100,100.0,30.0,30.0,14.026688,63.236498,7.466287
emtp,6,0.100,100.0,30.0,40.0,5.979800,53.121865,7.543217
emtp,7,0.100,100.0,30.0,inf,7.761476,42.520381,7.492823
emtp,8,0.100,100.0,40.0,20.0,2.267654,53.037948,7.436773
emtp,9,0.100,100.0,40.0,30.0,0.625083,43.833692,7.459118
emtp,10,0.100,100.0,40.0,40.0,1.448681,43.894406,7.498842
emtp,11,0.100,100.0,40.0,inf,4.528699,42.943903,7.515840
emtp,12,0.100,100.0,inf,20.0,10.823785,33.372632,7.538447
emtp,13,0.100,100.0,inf,30.0,2.662914,43.298159,7.492832
emtp,14,0.100,100.0,inf,40.0,1.157237,43.857674,7.496315
emtp,15,0.100,100.0,inf,inf,0.564731,52.333051,7.502025
emtp,16,0.100,500.0,20.0,20.0,156.473977,143.027021,0.982053
emtp,17,0.100,500.0,20.0,30.0,0.057203,39.735678,0.772782
emtp,18,0.100,500.0,20.0,40.0,50.000000,99.704703,1.020362
emtp,19,0.100,500.0,20.0,inf,24.760109,0.709545,0.947966
emtp,20,0.100,500.0,30.0,20.0,50.000000,99.900000,0.854958
emtp,21,0.100,500.0,30.0,30.0,9.343587,19.162183,0.932106
emtp,22,0.100,500.0,30.0,40.0,87.589128,71.550526,0.989766
emtp,23,0.100,500.0,30.0,inf,63.021043,41.620484,0.965909
