dataset,cell,alpha,Rx,snrV,snrI,n_trials,loc_mean_pct,loc_p95_pct,Rx_mean_pct,Rx_p95_pct
pscad,0,0.1,100.0,20.0,20.0,1,33.67231895507902,33.67231895507902,7.214937315583825,7.214937315583825
pscad,1,0.1,100.0,20.0,30.0,1,13.22187323364815,13.22187323364815,7.6321992654695805,7.6321992654695805
pscad,2,0.1,100.0,20.0,40.0,1,73.53144889872564,73.53144889872564,7.427643003494666,7.427643003494666
pscad,3,0.1,100.0,20.0,inf,1,52.61043248670852,52.61043248670852,7.511560999029257,7.511560999029257
pscad,4,0.1,100.0,30.0,20.0,1,32.7013561872635,32.7013561872635,7.5980554887224665,7.5980554887224665
pscad,5,0.1,100.0,30.0,30.0,1,33.04508727293906,33.04508727293906,7.397303694626133,7.397303694626133
pscad,6,0.1,100.0,30.0,40.0,1,52.99870253399508,52.99870253399508,7.550296389840128,7.550296389840128
pscad,7,0.1,100.0,30.0,inf,1,53.23923380365644,53.23923380365644,7.471256579984911,7.471256579984911
pscad,8,0.1,100.0,40.0,20.0,1,43.803691769768754,43.803691769768754,7.3172118936270465,7.3172118936270465
pscad,9,0.1,100.0,40.0,30.0,1,43.66857624268993,43.66857624268993,7.521516620325173,7.521516620325173
pscad,10,0.1,100.0,40.0,40.0,1,43.65451135054873,43.65451135054873,7.5001367750532495,7.5001367750532495
pscad,11,0.1,100.0,40.0,inf,1,44.01120958032633,44.01120958032633,7.490895312166316,7.490895312166316
pscad,12,0.1,100.0,inf,20.0,1,83.7851092322456,83.7851092322456,7.635719300479309,7.635719300479309
pscad,13,0.1,100.0,inf,30.0,1,43.39180609055007,43.39180609055007,7.5282679834422765,7.5282679834422765
pscad,14,0.1,100.0,inf,40.0,1,43.52767319127462,43.52767319127462,7.489970255716016,7.489970255716016
pscad,15,0.1,100.0,inf,inf,1,52.3330454447016,52.3330454447016,7.502025013453236,7.502025013453236
pscad,16,0.1,500.0,20.0,20.0,1,90.97439730045569,90.97439730045569,0.9841283203044782,0.9841283203044782
pscad,17,0.1,500.0,20.0,30.0,1,20.92645285329839,20.92645285329839,1.1736865734136814,1.1736865734136814
pscad,18,0.1,500.0,20.0,40.0,1,183.1802508311943,183.1802508311943,0.8578090456953305,0.8578090456953305
pscad,19,0.1,500.0,20.0,inf,1,21.81173950544905,21.81173950544905,1.0917151601140744,1.0917151601140744
pscad,20,0.1,500.0,30.0,20.0,1,253.50259125873254,253.50259125873254,0.8814247211688098,0.8814247211688098
pscad,21,0.1,500.0,30.0,30.0,1,10.096564665427477,10.096564665427477,0.9981695770384249,0.9981695770384249
pscad,22,0.1,500.0,30.0,40.0,1,20.615632328411987,20.615632328411987,0.9656686524804741,0.9656686524804741
pscad,23,0.1,500.0,30.0,inf,1,30.238470328317526,30.238470328317526,0.9381493527977909,0.9381493527977909
pscad,24,0.1,500.0,40.0,20.0,1,31.194127406606267,31.194127406606267,1.141523129425184,1.141523129425184
pscad,25,0.1,500.0,40.0,30.0,1,9.282528094777808,9.282528094777808,0.9287583271312088,0.9287583271312088
pscad,26,0.1,500.0,40.0,40.0,1,19.942504368692813,19.942504368692813,0.9615965599324113,0.9615965599324113
pscad,27,0.1,500.0,40.0,inf,1,19.26718081005757,19.26718081005757,0.9706569661160642,0.9706569661160642
pscad,28,0.1,500.0,inf,20.0,1,112.25977179085447,112.25977179085447,1.2008009398256376,1.2008009398256376
pscad,29,0.1,500.0,inf,30.0,1,9.747070397377252,9.747070397377252,1.0400102964561255,1.0400102964561255
pscad,30,0.1,500.0,inf,40.0,1,9.676266600730578,9.676266600730578,0.9482718526725875,0.9482718526725875
pscad,31,0.1,500.0,inf,inf,1,9.57188846664407,9.57188846664407,0.9571200463195282,0.9571200463195282
pscad,32,0.1,1000.0,20.0,20.0,1,250.80322628230198,250.80322628230198,12.403997640726335,12.403997640726335
pscad,33,0.1,1000.0,20.0,30.0,1,99.89999999999999,99.89999999999999,11.0242530236559,11.0242530236559
pscad,34,0.1,1000.0,20.0,40.0,1,99.89999999999999,99.89999999999999,11.1395189876259,11.1395189876259
pscad,35,0.1,1000.0,20.0,inf,1,99.89999999999999,99.89999999999999,11.021976224951526,11.021976224951526
pscad,36,0.1,1000.0,30.0,20.0,1,99.89999999999999,99.89999999999999,10.962725765079574,10.962725765079574
pscad,37,0.1,1000.0,30.0,30.0,1,99.89999999999999,99.89999999999999,11.065976832294906,11.065976832294906
