fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,alpha_hat_emanuel,Rx_hat_emanuel,loc_err_pct_emanuel,Rx_err_pct_emanuel,alpha_hat_kizilcay,Rx_hat_kizilcay,loc_err_pct_kizilcay,Rx_err_pct_kizilcay,delta_loc_err_pct,delta_Rx_err_pct
bus_01,0.5,100.0,20.0,30.0,0.18492561033943683,156.5348387494097,63.01487793211263,56.53483874940968,0.20416997980132243,92.70202845210973,59.16600403973551,7.29797154789027,-3.848873892377121,-49.23686720151941
bus_01,0.5,100.0,20.0,40.0,0.16277655267859978,156.62864462709055,67.44468946428003,56.62864462709055,0.1941981796020991,92.68243591221461,61.16036407958019,7.317564087785386,-6.284325384699841,-49.311080539305166
bus_01,0.5,100.0,20.0,inf,0.16274487422599984,156.57592130809934,67.45102515480004,56.57592130809934,0.20334085527109635,92.67461964545421,59.33182894578073,7.325380354545786,-8.119196209019307,-49.25054095355355
bus_01,0.5,100.0,30.0,30.0,0.17418424790979034,156.6352010411749,65.16315041804192,56.635201041174895,0.20453392346771798,92.69717607073754,59.0932153064564,7.302823929262458,-6.069935111585522,-49.332377111912436
bus_01,0.5,100.0,30.0,40.0,0.17397819256087746,156.63419249688386,65.20436148782451,56.634192496883855,0.20330639935250103,92.66595960250497,59.33872012949979,7.33404039749503,-5.865641358324723,-49.300152099388825
bus_01,0.5,100.0,30.0,inf,0.18358705064901923,156.56497722907255,63.28258987019615,56.564977229072554,0.20336996909750565,92.67608214804318,59.32600618049887,7.323917851956821,-3.9565836896972755,-49.24105937711573
bus_01,0.5,100.0,40.0,30.0,0.18299057628035964,156.5785201015117,63.40188474392807,56.578520101511714,0.1842384213548878,92.67915614808557,63.15231572902245,7.320843851914433,-0.24956901490562444,-49.25767624959728
bus_01,0.5,100.0,40.0,40.0,0.17496820827536305,156.5711868917742,65.00635834492738,56.571186891774204,0.20354605116288468,92.68601781991919,59.29078976742306,7.313982180080814,-5.715568577504321,-49.25720471169339
bus_01,0.5,100.0,40.0,inf,0.1750346946323106,156.59654817294708,64.99306107353789,56.59654817294708,0.2034141298459585,92.6774085826146,59.317174030808296,7.322591417385397,-5.675887042729592,-49.273956755561684
bus_01,0.5,100.0,inf,30.0,0.17483610534244362,156.55223835579412,65.03277893151127,56.55223835579412,0.19461333604696754,92.66470434211165,61.0773327906065,7.335295657888353,-3.955446140904776,-49.216942697905765
bus_01,0.5,100.0,inf,40.0,0.1745419466599609,156.58575980012876,65.09161066800782,56.585759800128756,0.20395884843646772,92.68457638825339,59.208230312706455,7.31542361174661,-5.883380355301362,-49.270336188382146
bus_01,0.5,100.0,inf,inf,0.190462244754179,156.5733273661126,61.9075510491642,56.57332736611261,0.21200293801222928,92.67139634111734,57.59941239755415,7.328603658882656,-4.308138651610051,-49.24472370722995
bus_01,0.5,500.0,20.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,500.77083434476293,99.98,0.15416686895258636,0.0,-30.8715445029576
bus_01,0.5,500.0,20.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.06284628753593,99.98,0.21256925750718664,0.0,-30.813142114403
bus_01,0.5,500.0,20.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.0978495739204,99.98,0.21956991478408555,0.0,-30.806141457126103
bus_01,0.5,500.0,30.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.12761084316486,99.98,0.2255221686329719,0.0,-30.800189203277217
bus_01,0.5,500.0,30.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.06036779975193,99.98,0.21207355995038596,0.0,-30.8136378119598
bus_01,0.5,500.0,30.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.08510195759607,99.98,0.21702039151921326,0.0,-30.808690980390974
bus_01,0.5,500.0,40.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.0080089209179,99.98,0.20160178418358327,0.0,-30.824109587726603
bus_01,0.5,500.0,40.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.0957436854436,99.98,0.21914873708872165,0.0,-30.806562634821464
bus_01,0.5,500.0,40.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.11708414890495,99.98,0.22341682978099014,0.0,-30.802294542129196
bus_01,0.5,500.0,inf,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.28229746330015,99.98,0.2564594926600307,0.0,-30.769251879250156
bus_01,0.5,500.0,inf,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.087299582692,99.98,0.21745991653840518,0.0,-30.80825145537178
bus_01,0.5,500.0,inf,inf,0.9999,658.894800055674,99.98,31.77896001113479,0.9999,501.10279997192015,99.98,0.2205599943840298,0.0,-31.55840001675076
bus_01,0.5,1000.0,20.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.6671634388952,99.98,8.433283656110484,0.0,-6.706256276534212
bus_01,0.5,1000.0,20.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.1443789540995,99.98,8.485562104590054,0.0,-6.653977828054643
bus_01,0.5,1000.0,20.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,914.6905186830685,99.98,8.530948131693151,0.0,-6.608591800951546
bus_01,0.5,1000.0,30.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.253580067684,99.98,8.474641993231602,0.0,-6.664897939413095
bus_01,0.5,1000.0,30.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.0934299120089,99.98,8.49065700879911,0.0,-6.648882923845587
bus_01,0.5,1000.0,30.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.2060344788835,99.98,8.479396552111655,0.0,-6.660143380533041
bus_01,0.5,1000.0,40.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.3220499395417,99.98,8.467795006045833,0.0,-6.671744926598864
bus_01,0.5,1000.0,40.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.5788966716333,99.98,8.442110332836672,0.0,-6.697429599808025
bus_01,0.5,1000.0,40.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.4627680067339,99.98,8.453723199326612,0.0,-6.6858167333180845
bus_01,0.5,1000.0,inf,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.6645497784757,99.98,8.43354502215243,0.0,-6.705994910492267
bus_01,0.5,1000.0,inf,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.5136930576926,99.98,8.448630694230735,0.0,-6.690909238413962
bus_01,0.5,1000.0,inf,inf,0.9999,1492.1063323853227,99.98,49.210633238532274,0.9999,1163.179805496938,99.98,16.31798054969379,0.0,-32.89265268883848
bus_01,0.5,2000.0,20.0,30.0,0.9999,1654.9354885455998,99.98,17.25322557272001,0.9999,1567.08979987179,99.98,21.645510006410497,0.0,4.392284433690488
bus_01,0.5,2000.0,20.0,40.0,0.9999,1654.4776537293112,99.98,17.27611731353444,0.9999,1571.1690860292008,99.98,21.44154569853996,0.0,4.165428385005523
bus_01,0.5,2000.0,20.0,inf,0.9999,1654.7878537432698,99.98,17.26060731283651,0.9999,1575.0004487499664,99.98,21.24997756250168,0.0,3.9893702496651713
bus_01,0.5,2000.0,30.0,30.0,0.9999,1654.0583534875075,99.98,17.297082325624626,0.9999,1568.6189189977647,99.98,21.569054050111763,0.0,4.271971724487138
bus_01,0.5,2000.0,30.0,40.0,0.9999,1654.396730453563,99.98,17.280163477321853,0.9999,1567.2728311315668,99.98,21.63635844342166,0.0,4.356194966099807
bus_01,0.5,2000.0,30.0,inf,0.9999,1654.6890124518368,99.98,17.265549377408163,0.9999,1557.0545710905885,99.98,22.147271445470576,0.0,4.8817220680624125
bus_01,0.5,2000.0,40.0,30.0,0.9999,1655.1916352785836,99.98,17.240418236070823,0.9999,1563.5894911607352,99.98,21.82052544196324,0.0,4.580107205892418
bus_01,0.5,2000.0,40.0,40.0,0.9999,1654.778670931354,99.98,17.261066453432292,0.9999,1557.1532235956017,99.98,22.142338820219912,0.0,4.88127236678762
bus_01,0.5,2000.0,40.0,inf,0.9999,1654.814649083077,99.98,17.25926754584615,0.9999,1558.443437771547,99.98,22.077828111422647,0.0,4.818560565576497
bus_01,0.5,2000.0,inf,30.0,0.9999,1655.231835363397,99.98,17.23840823183015,0.9999,1555.827970896279,99.98,22.20860145518604,0.0,4.970193223355892
