trial,profile,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,alpha_hat_emanuel,Rx_hat_emanuel,loc_err_emanuel,Rx_err_emanuel,alpha_hat_torres,Rx_hat_torres,loc_err_torres,Rx_err_torres,delta_loc_err_pct,delta_Rx_err_pct
0,tree,bus_01,0.5,100.0,20.0,30.0,0.1833226248511523,156.4547440874518,63.33547502976954,56.45474408745178,0.2841202967131791,214.16948969634703,43.17594065736417,114.16948969634703,-20.159534372405368,57.71474560889525
0,sand,bus_01,0.5,100.0,20.0,30.0,0.1833226248511523,156.4547440874518,63.33547502976954,56.45474408745178,0.39432867751726103,209.85228112632342,21.134264496547793,109.85228112632342,-42.20121053322175,53.39753703887164
0,concrete,bus_01,0.5,100.0,20.0,30.0,0.1833226248511523,156.4547440874518,63.33547502976954,56.45474408745178,0.2327122492212363,158.12420334683893,53.45755015575274,58.124203346838925,-9.877924874016799,1.6694592593871462
0,tree,bus_01,0.5,100.0,20.0,40.0,0.1739362740188632,156.547002298356,65.21274519622736,56.547002298356,0.1125542020245836,207.88398032106124,77.48915959508328,107.88398032106124,12.27641439885592,51.336978022705246
0,sand,bus_01,0.5,100.0,20.0,40.0,0.1739362740188632,156.547002298356,65.21274519622736,56.547002298356,0.2653834190350208,208.20132668745933,46.92331619299585,108.20132668745933,-18.28942900323151,51.65432438910333
0,concrete,bus_01,0.5,100.0,20.0,40.0,0.1739362740188632,156.547002298356,65.21274519622736,56.547002298356,0.2325954075093773,158.42067677621128,53.48091849812454,58.42067677621127,-11.731826698102822,1.8736744778552747
0,tree,bus_01,0.5,100.0,20.0,inf,0.16371724130748777,156.55914355088123,67.25655173850245,56.55914355088124,0.051837874682934444,213.34059114584372,89.63242506341311,113.34059114584372,22.375873324910657,56.78144759496248
0,sand,bus_01,0.5,100.0,20.0,inf,0.16371724130748777,156.55914355088123,67.25655173850245,56.55914355088124,0.4333268915018479,211.86507593368967,13.334621699630421,111.86507593368965,-53.921930038872034,55.305932382808415
0,concrete,bus_01,0.5,100.0,20.0,inf,0.16371724130748777,156.55914355088123,67.25655173850245,56.55914355088124,0.20120057695030732,157.8958227722443,59.75988460993853,57.89582277224428,-7.496667128563921,1.3366792213630418
0,tree,bus_01,0.5,100.0,30.0,30.0,0.17374982379622403,156.5444268748462,65.25003524075518,56.54442687484621,0.252865117285787,212.0536982514723,49.4269765428426,112.05369825147231,-15.823058697912579,55.5092713766261
0,sand,bus_01,0.5,100.0,30.0,30.0,0.17374982379622403,156.5444268748462,65.25003524075518,56.54442687484621,0.5577300917603064,214.09690700942267,11.546018352061282,114.09690700942267,-53.7040168886939,57.552480134576456
0,concrete,bus_01,0.5,100.0,30.0,30.0,0.17374982379622403,156.5444268748462,65.25003524075518,56.54442687484621,0.22169959702317726,158.42109549744092,55.66008059536455,58.421095497440916,-9.589954645390634,1.876668622594707
0,tree,bus_01,0.5,100.0,30.0,40.0,0.18338499921179657,156.56188767600776,63.323000157640685,56.56188767600776,0.050323311577673786,208.4431334226565,89.93533768446524,108.4431334226565,26.612337526824554,51.881245746648744
0,sand,bus_01,0.5,100.0,30.0,40.0,0.18338499921179657,156.56188767600776,63.323000157640685,56.56188767600776,0.33270380829444274,210.3399403476523,33.45923834111145,110.33994034765229,-29.863761816529234,53.77805267164453
0,concrete,bus_01,0.5,100.0,30.0,40.0,0.18338499921179657,156.56188767600776,63.323000157640685,56.56188767600776,0.25198527303905205,158.80915860966883,49.60294539218959,58.80915860966883,-13.720054765451096,2.2472709336610706
