cell,alpha,Rx_ohm,SNR_V_dB,SNR_I_dB,rms_pscad_emtp_pct,rms_pscad_ref50_pct,rms_emtp_ref50_pct,max_pct
361,0.500,1000.0,40.0,30.0,4.522113,4.377180,4.660102,4.660102
362,0.500,1000.0,40.0,40.0,1.412120,1.442222,1.408069,1.442222
363,0.500,1000.0,40.0,inf,1.451845,1.574394,1.342867,1.574394
364,0.500,1000.0,inf,20.0,13.874548,14.490200,13.898540,14.490200
365,0.500,1000.0,inf,30.0,4.561352,4.211749,4.460772,4.561352
366,0.500,1000.0,inf,40.0,1.446447,1.589638,1.553579,1.589638
367,0.500,1000.0,inf,inf,0.000003,0.000003,0.000000,0.000003
368,0.500,2000.0,20.0,20.0,14.003782,13.369489,14.527261,14.527261
369,0.500,2000.0,20.0,30.0,14.151099,14.650133,15.595187,15.595187
370,0.500,2000.0,20.0,40.0,14.653089,14.069507,15.024827,15.024827
371,0.500,2000.0,20.0,inf,14.456639,13.268367,14.090784,14.456639
372,0.500,2000.0,30.0,20.0,13.764788,14.370942,14.143413,14.370942
373,0.500,2000.0,30.0,30.0,4.500272,4.687722,4.729455,4.729455
374,0.500,2000.0,30.0,40.0,4.353988,4.546226,4.460278,4.546226
375,0.500,2000.0,30.0,inf,4.165432,4.366594,4.818339,4.818339
376,0.500,2000.0,40.0,20.0,14.413068,13.844575,13.833280,14.413068
377,0.500,2000.0,40.0,30.0,4.442375,4.779960,4.573429,4.779960
378,0.500,2000.0,40.0,40.0,1.583900,1.492197,1.505211,1.583900
379,0.500,2000.0,40.0,inf,1.359698,1.417467,1.445149,1.445149
380,0.500,2000.0,inf,20.0,13.427065,14.473661,14.435054,14.473661
381,0.500,2000.0,inf,30.0,4.542672,3.867108,4.133641,4.542672
382,0.500,2000.0,inf,40.0,1.364068,1.277473,1.435713,1.435713
383,0.500,2000.0,inf,inf,0.000005,0.000005,0.000000,0.000005
384,0.500,5000.0,20.0,20.0,13.539492,13.872194,13.249360,13.872194
385,0.500,5000.0,20.0,30.0,13.707118,14.117133,14.539155,14.539155
386,0.500,5000.0,20.0,40.0,13.523962,14.380071,13.702432,14.380071
387,0.500,5000.0,20.0,inf,13.971673,14.425417,13.974352,14.425417
388,0.500,5000.0,30.0,20.0,14.099418,14.381048,12.922388,14.381048
389,0.500,5000.0,30.0,30.0,4.961891,4.858139,4.614292,4.961891
390,0.500,5000.0,30.0,40.0,4.356971,4.092955,4.267554,4.356971
391,0.500,5000.0,30.0,inf,4.443801,4.445943,4.497959,4.497959
392,0.500,5000.0,40.0,20.0,15.082444,14.304741,15.131510,15.131510
393,0.500,5000.0,40.0,30.0,4.505001,4.777991,4.386758,4.777991
394,0.500,5000.0,40.0,40.0,1.494303,1.544139,1.525370,1.544139
395,0.500,5000.0,40.0,inf,1.315816,1.486045,1.368980,1.486045
396,0.500,5000.0,inf,20.0,13.325000,14.323196,15.447912,15.447912
397,0.500,5000.0,inf,30.0,4.045437,4.018635,4.016236,4.045437
398,0.500,5000.0,inf,40.0,1.367858,1.518058,1.448487,1.518058
399,0.500,5000.0,inf,inf,0.000008,0.000008,0.000000,0.000008
400,0.600,100.0,20.0,20.0,14.372800,14.883122,14.425126,14.883122
401,0.600,100.0,20.0,30.0,14.079850,13.632677,13.887176,14.079850
402,0.600,100.0,20.0,40.0,14.577676,14.434449,14.629040,14.629040
403,0.600,100.0,20.0,inf,14.933093,15.072357,13.967434,15.072357
404,0.600,100.0,30.0,20.0,15.013666,15.567902,14.806340,15.567902
405,0.600,100.0,30.0,30.0,4.895430,4.652739,4.623134,4.895430
406,0.600,100.0,30.0,40.0,4.682222,4.402385,4.396847,4.682222
407,0.600,100.0,30.0,inf,4.611766,4.533992,4.417626,4.611766
408,0.600,100.0,40.0,20.0,14.867356,13.424956,13.502160,14.867356
409,0.600,100.0,40.0,30.0,4.322540,4.429411,4.275004,4.429411
410,0.600,100.0,40.0,40.0,1.415151,1.459347,1.515764,1.515764
411,0.600,100.0,40.0,inf,1.363686,1.383743,1.408134,1.408134
412,0.600,100.0,inf,20.0,14.196064,12.783813,13.713936,14.196064
413,0.600,100.0,inf,30.0,4.199323,4.326155,4.351677,4.351677
414,0.600,100.0,inf,40.0,1.489655,1.345124,1.366718,1.489655
415,0.600,100.0,inf,inf,0.000005,0.000005,0.000000,0.000005
416,0.600,500.0,20.0,20.0,13.880139,14.569681,14.584918,14.584918
417,0.600,500.0,20.0,30.0,14.803959,14.721376,15.506496,15.506496
418,0.600,500.0,20.0,40.0,13.594809,12.847211,14.351044,14.351044
419,0.600,500.0,20.0,inf,14.061899,14.292667,13.512121,14.292667
420,0.600,500.0,30.0,20.0,13.407523,14.344637,13.498457,14.344637
421,0.600,500.0,30.0,30.0,4.766830,4.522517,4.781194,4.781194
422,0.600,500.0,30.0,40.0,4.234892,4.459491,4.688513,4.688513
423,0.600,500.0,30.0,inf,4.659114,4.827240,4.495563,4.827240
424,0.600,500.0,40.0,20.0,14.712531,13.525981,13.782250,14.712531
425,0.600,500.0,40.0,30.0,4.274886,4.627061,4.376362,4.627061
426,0.600,500.0,40.0,40.0,1.409745,1.433410,1.465763,1.465763
427,0.600,500.0,40.0,inf,1.512872,1.451002,1.437396,1.512872
428,0.600,500.0,inf,20.0,13.412837,13.726785,13.532796,13.726785
429,0.600,500.0,inf,30.0,4.184770,4.065084,4.554506,4.554506
430,0.600,500.0,inf,40.0,1.361211,1.347593,1.402572,1.402572
431,0.600,500.0,inf,inf,0.000003,0.000003,0.000000,0.000003
432,0.600,1000.0,20.0,20.0,14.204495,15.411255,14.392282,15.411255
433,0.600,1000.0,20.0,30.0,14.231820,13.943222,13.830056,14.231820
434,0.600,1000.0,20.0,40.0,16.356199,15.507314,14.862110,16.356199
435,0.600,1000.0,20.0,inf,13.041135,13.795853,13.958655,13.958655
436,0.600,1000.0,30.0,20.0,15.182899,15.345086,13.178601,15.345086
437,0.600,1000.0,30.0,30.0,4.706576,4.685671,4.981630,4.981630
438,0.600,1000.0,30.0,40.0,4.987314,4.291061,4.879149,4.987314
439,0.600,1000.0,30.0,inf,4.362029,4.337755,4.624868,4.624868
440,0.600,1000.0,40.0,20.0,15.030514,13.601590,14.291864,15.030514
441,0.600,1000.0,40.0,30.0,4.975114,4.282343,4.368140,4.975114
442,0.600,1000.0,40.0,40.0,1.495285,1.519820,1.569566,1.569566
443,0.600,1000.0,40.0,inf,1.298505,1.391256,1.377593,1.391256
444,0.600,1000.0,inf,20.0,13.965446,13.419980,14.268116,14.268116
445,0.600,1000.0,inf,30.0,4.720502,4.720403,4.361146,4.720502
446,0.600,1000.0,inf,40.0,1.462905,1.645705,1.520063,1.645705
447,0.600,1000.0,inf,inf,0.000004,0.000004,0.000000,0.000004
448,0.600,2000.0,20.0,20.0,14.616350,14.258846,14.118746,14.616350
449,0.600,2000.0,20.0,30.0,14.543503,14.305038,13.922120,14.543503
450,0.600,2000.0,20.0,40.0,13.463851,13.326805,15.359430,15.359430
451,0.600,2000.0,20.0,inf,14.714528,14.583979,12.670639,14.714528
452,0.600,2000.0,30.0,20.0,13.763417,13.801665,13.902354,13.902354
453,0.600,2000.0,30.0,30.0,4.613027,4.579304,4.904001,4.904001
454,0.600,2000.0,30.0,40.0,4.532666,4.711283,4.760613,4.760613
455,0.600,2000.0,30.0,inf,4.707749,4.399596,4.434142,4.707749
456,0.600,2000.0,40.0,20.0,14.208726,13.613858,14.752205,14.752205
457,0.600,2000.0,40.0,30.0,4.758543,4.731940,5.021592,5.021592
458,0.600,2000.0,40.0,40.0,1.507103,1.388805,1.444523,1.507103
459,0.600,2000.0,40.0,inf,1.290707,1.370318,1.354847,1.370318
460,0.600,2000.0,inf,20.0,14.891889,13.416394,14.988442,14.988442
461,0.600,2000.0,inf,30.0,4.619608,4.498298,3.961015,4.619608
462,0.600,2000.0,inf,40.0,1.360169,1.436623,1.291411,1.436623
463,0.600,2000.0,inf,inf,0.000006,0.000006,0.000000,0.000006
464,0.600,5000.0,20.0,20.0,14.840372,14.461872,14.425707,14.840372
465,0.600,5000.0,20.0,30.0,14.660738,14.346552,14.461389,14.660738
466,0.600,5000.0,20.0,40.0,13.649534,13.976390,12.598437,13.976390
467,0.600,5000.0,20.0,inf,14.442421,14.497644,15.092725,15.092725
468,0.600,5000.0,30.0,20.0,14.343251,14.647367,14.591711,14.647367
469,0.600,5000.0,30.0,30.0,4.616130,4.111956,4.454921,4.616130
470,0.600,5000.0,30.0,40.0,4.700959,4.389138,4.464345,4.700959
471,0.600,5000.0,30.0,inf,4.299390,4.468453,4.449472,4.468453
472,0.600,5000.0,40.0,20.0,14.595869,14.733554,14.588187,14.733554
473,0.600,5000.0,40.0,30.0,4.515325,4.333354,4.208515,4.515325
474,0.600,5000.0,40.0,40.0,1.516714,1.478050,1.468299,1.516714
475,0.600,5000.0,40.0,inf,1.439463,1.459711,1.482510,1.482510
476,0.600,5000.0,inf,20.0,14.697418,14.022094,14.256676,14.697418
477,0.600,5000.0,inf,30.0,4.738551,4.173573,4.260493,4.738551
478,0.600,5000.0,inf,40.0,1.427637,1.529311,1.461552,1.529311
479,0.600,5000.0,inf,inf,0.000009,0.000009,0.000000,0.000009
480,0.700,100.0,20.0,20.0,14.697062,14.221606,15.350012,15.350012
481,0.700,100.0,20.0,30.0,15.390757,14.566832,14.523410,15.390757
482,0.700,100.0,20.0,40.0,13.958142,14.250687,12.561095,14.250687
483,0.700,100.0,20.0,inf,14.176449,13.423281,14.371510,14.371510
484,0.700,100.0,30.0,20.0,11.879032,13.083603,13.954699,13.954699
485,0.700,100.0,30.0,30.0,4.570411,4.511677,4.464444,4.570411
486,0.700,100.0,30.0,40.0,4.143890,4.372606,4.363062,4.372606
487,0.700,100.0,30.0,inf,4.883528,4.489675,4.304244,4.883528
488,0.700,100.0,40.0,20.0,15.057711,14.406706,13.660442,15.057711
489,0.700,100.0,40.0,30.0,4.298484,4.408801,4.279058,4.408801
490,0.700,100.0,40.0,40.0,1.464988,1.463421,1.293972,1.464988
491,0.700,100.0,40.0,inf,1.467110,1.487756,1.427808,1.487756
492,0.700,100.0,inf,20.0,15.286311,14.341694,13.828571,15.286311
493,0.700,100.0,inf,30.0,4.122229,4.385068,4.706245,4.706245
494,0.700,100.0,inf,40.0,1.336566,1.447140,1.291618,1.447140
495,0.700,100.0,inf,inf,0.000008,0.000008,0.000000,0.000008
496,0.700,500.0,20.0,20.0,14.662380,15.447373,15.081790,15.447373
497,0.700,500.0,20.0,30.0,13.967719,14.034992,15.209875,15.209875
498,0.700,500.0,20.0,40.0,14.585285,13.308180,13.369772,14.585285
499,0.700,500.0,20.0,inf,14.097321,13.587007,13.795368,14.097321
500,0.700,500.0,30.0,20.0,13.358951,12.827656,12.527604,13.358951
501,0.700,500.0,30.0,30.0,4.643170,4.358970,4.621251,4.643170
502,0.700,500.0,30.0,40.0,4.460996,4.863097,4.734010,4.863097
503,0.700,500.0,30.0,inf,4.464177,4.612699,4.237714,4.612699
504,0.700,500.0,40.0,20.0,14.777135,13.391454,15.149921,15.149921
505,0.700,500.0,40.0,30.0,4.633722,4.539424,4.294204,4.633722
506,0.700,500.0,40.0,40.0,1.498367,1.440493,1.518948,1.518948
507,0.700,500.0,40.0,inf,1.457656,1.428543,1.435221,1.457656
508,0.700,500.0,inf,20.0,13.042102,14.145909,13.467453,14.145909
509,0.700,500.0,inf,30.0,4.812523,4.402090,4.408826,4.812523
510,0.700,500.0,inf,40.0,1.359982,1.344874,1.349193,1.359982
511,0.700,500.0,inf,inf,0.000004,0.000004,0.000000,0.000004
512,0.700,1000.0,20.0,20.0,13.468738,13.898343,13.687996,13.898343
513,0.700,1000.0,20.0,30.0,12.567184,12.859674,12.709855,12.859674
514,0.700,1000.0,20.0,40.0,14.406546,14.752738,14.527583,14.752738
515,0.700,1000.0,20.0,inf,13.745566,13.631654,13.792799,13.792799
516,0.700,1000.0,30.0,20.0,14.271752,14.666168,13.906161,14.666168
517,0.700,1000.0,30.0,30.0,4.617141,4.226318,4.429398,4.617141
518,0.700,1000.0,30.0,40.0,4.162429,4.260380,4.250470,4.260380
519,0.700,1000.0,30.0,inf,4.210006,4.157558,4.267476,4.267476
520,0.700,1000.0,40.0,20.0,14.560936,15.022042,14.083410,15.022042
521,0.700,1000.0,40.0,30.0,4.451851,3.895576,4.550500,4.550500
522,0.700,1000.0,40.0,40.0,1.493656,1.466155,1.484524,1.493656
523,0.700,1000.0,40.0,inf,1.402303,1.416232,1.360880,1.416232
524,0.700,1000.0,inf,20.0,13.585955,13.895953,13.172006,13.895953
525,0.700,1000.0,inf,30.0,4.356663,4.153433,4.427495,4.427495
526,0.700,1000.0,inf,40.0,1.360085,1.471112,1.378176,1.471112
527,0.700,1000.0,inf,inf,0.000005,0.000005,0.000000,0.000005
528,0.700,2000.0,20.0,20.0,14.601742,14.589168,14.594209,14.601742
529,0.700,2000.0,20.0,30.0,14.569772,13.936342,15.085847,15.085847
530,0.700,2000.0,20.0,40.0,12.483088,13.192871,13.090036,13.192871
531,0.700,2000.0,20.0,inf,14.452496,14.102399,14.100803,14.452496
532,0.700,2000.0,30.0,20.0,13.217179,14.121954,13.521382,14.121954
533,0.700,2000.0,30.0,30.0,4.653258,4.749192,4.509984,4.749192
534,0.700,2000.0,30.0,40.0,4.670686,4.076696,4.610195,4.670686
535,0.700,2000.0,30.0,inf,4.459960,4.568936,4.981956,4.981956
536,0.700,2000.0,40.0,20.0,14.097709,13.317963,13.894912,14.097709
537,0.700,2000.0,40.0,30.0,4.408967,4.390181,4.109789,4.408967
538,0.700,2000.0,40.0,40.0,1.472833,1.437899,1.423469,1.472833
539,0.700,2000.0,40.0,inf,1.408698,1.487417,1.478716,1.487417
540,0.700,2000.0,inf,20.0,13.644157,13.978143,13.987613,13.987613
541,0.700,2000.0,inf,30.0,4.940681,4.403312,4.564526,4.940681
542,0.700,2000.0,inf,40.0,1.510629,1.356865,1.499073,1.510629
543,0.700,2000.0,inf,inf,0.000008,0.000008,0.000000,0.000008
544,0.700,5000.0,20.0,20.0,14.405154,14.472078,14.841593,14.841593
545,0.700,5000.0,20.0,30.0,14.819317,13.961766,14.383855,14.819317
546,0.700,5000.0,20.0,40.0,14.078196,14.525309,13.581234,14.525309
547,0.700,5000.0,20.0,inf,14.263802,14.977902,15.395255,15.395255
548,0.700,5000.0,30.0,20.0,13.632601,15.189354,15.730819,15.730819
549,0.700,5000.0,30.0,30.0,4.386806,4.686040,4.569420,4.686040
550,0.700,5000.0,30.0,40.0,4.459844,4.192284,4.132225,4.459844
551,0.700,5000.0,30.0,inf,4.521217,4.101652,4.526617,4.526617
552,0.700,5000.0,40.0,20.0,12.780914,13.609118,13.775214,13.775214
553,0.700,5000.0,40.0,30.0,4.208283,4.407334,4.595674,4.595674
554,0.700,5000.0,40.0,40.0,1.442031,1.374589,1.385262,1.442031
555,0.700,5000.0,40.0,inf,1.473182,1.443276,1.240927,1.473182
556,0.700,5000.0,inf,20.0,12.602659,14.180578,13.912722,14.180578
557,0.700,5000.0,inf,30.0,4.092415,4.359940,4.246789,4.359940
558,0.700,5000.0,inf,40.0,1.301050,1.415241,1.386840,1.415241
559,0.700,5000.0,inf,inf,0.000012,0.000012,0.000000,0.000012
560,0.800,100.0,20.0,20.0,14.132893,14.849266,14.512756,14.849266
561,0.800,100.0,20.0,30.0,13.400405,14.029876,14.035988,14.035988
562,0.800,100.0,20.0,40.0,13.156278,14.331802,14.556793,14.556793
563,0.800,100.0,20.0,inf,14.093534,14.405627,13.658970,14.405627
564,0.800,100.0,30.0,20.0,13.302037,14.352697,15.031862,15.031862
565,0.800,100.0,30.0,30.0,4.418705,4.521448,4.642847,4.642847
566,0.800,100.0,30.0,40.0,4.515264,4.135193,4.371431,4.515264
567,0.800,100.0,30.0,inf,4.651648,4.970467,4.148915,4.970467
568,0.800,100.0,40.0,20.0,15.018759,13.448201,14.432851,15.018759
569,0.800,100.0,40.0,30.0,4.390060,4.582435,4.544782,4.582435
570,0.800,100.0,40.0,40.0,1.454255,1.507739,1.513778,1.513778
571,0.800,100.0,40.0,inf,1.534127,1.413302,1.393339,1.534127
572,0.800,100.0,inf,20.0,14.867373,13.970468,13.520381,14.867373
573,0.800,100.0,inf,30.0,4.097631,4.346466,4.130261,4.346466
574,0.800,100.0,inf,40.0,1.437902,1.453664,1.424540,1.453664
575,0.800,100.0,inf,inf,0.000011,0.000011,0.000000,0.000011
576,0.800,500.0,20.0,20.0,14.318219,15.124732,14.155482,15.124732
577,0.800,500.0,20.0,30.0,14.134626,14.930908,14.014212,14.930908
578,0.800,500.0,20.0,40.0,13.785334,14.056789,13.587048,14.056789
579,0.800,500.0,20.0,inf,13.183788,13.177418,13.830285,13.830285
580,0.800,500.0,30.0,20.0,13.933051,13.855005,13.328420,13.933051
581,0.800,500.0,30.0,30.0,4.427370,4.683315,4.434579,4.683315
582,0.800,500.0,30.0,40.0,4.516026,4.499139,4.335243,4.516026
583,0.800,500.0,30.0,inf,4.375155,4.664199,4.531310,4.664199
584,0.800,500.0,40.0,20.0,13.816370,13.866881,13.870388,13.870388
585,0.800,500.0,40.0,30.0,4.842373,4.710112,4.522463,4.842373
586,0.800,500.0,40.0,40.0,1.452923,1.455283,1.470559,1.470559
587,0.800,500.0,40.0,inf,1.324740,1.371514,1.344334,1.371514
588,0.800,500.0,inf,20.0,13.185013,13.441579,14.093100,14.093100
589,0.800,500.0,inf,30.0,4.612532,4.337735,4.498105,4.612532
590,0.800,500.0,inf,40.0,1.509273,1.475046,1.443984,1.509273
591,0.800,500.0,inf,inf,0.000006,0.000006,0.000000,0.000006
592,0.800,1000.0,20.0,20.0,14.816942,14.382611,15.453103,15.453103
593,0.800,1000.0,20.0,30.0,14.420009,13.671735,14.144804,14.420009
594,0.800,1000.0,20.0,40.0,14.725730,13.085354,13.787280,14.725730
595,0.800,1000.0,20.0,inf,14.881704,14.981408,13.997843,14.981408
596,0.800,1000.0,30.0,20.0,14.377651,14.441460,14.203215,14.441460
597,0.800,1000.0,30.0,30.0,4.538436,4.753477,4.354252,4.753477
598,0.800,1000.0,30.0,40.0,4.479847,4.413984,4.296654,4.479847
599,0.800,1000.0,30.0,inf,4.396099,4.261809,4.613313,4.613313
600,0.800,1000.0,40.0,20.0,14.863560,14.966111,14.282658,14.966111
601,0.800,1000.0,40.0,30.0,4.676595,4.213196,4.486616,4.676595
602,0.800,1000.0,40.0,40.0,1.441815,1.423998,1.476743,1.476743
603,0.800,1000.0,40.0,inf,1.453644,1.522320,1.487861,1.522320
604,0.800,1000.0,inf,20.0,13.725824,14.188523,12.995666,14.188523
605,0.800,1000.0,inf,30.0,4.483016,4.351655,4.443272,4.483016
606,0.800,1000.0,inf,40.0,1.406605,1.467666,1.379986,1.467666
607,0.800,1000.0,inf,inf,0.000008,0.000008,0.000000,0.000008
608,0.800,2000.0,20.0,20.0,14.570033,14.651956,13.400861,14.651956
609,0.800,2000.0,20.0,30.0,13.917879,14.262754,14.010797,14.262754
610,0.800,2000.0,20.0,40.0,14.853519,14.715143,14.697526,14.853519
611,0.800,2000.0,20.0,inf,13.777940,13.153596,13.841586,13.841586
612,0.800,2000.0,30.0,20.0,13.088786,13.703967,13.231784,13.703967
613,0.800,2000.0,30.0,30.0,4.651479,4.817868,4.673278,4.817868
614,0.800,2000.0,30.0,40.0,4.600008,4.374511,4.375152,4.600008
615,0.800,2000.0,30.0,inf,4.620324,4.153854,4.289847,4.620324
616,0.800,2000.0,40.0,20.0,13.122198,14.105099,13.027447,14.105099
617,0.800,2000.0,40.0,30.0,4.452349,4.395684,4.463992,4.463992
618,0.800,2000.0,40.0,40.0,1.464889,1.430208,1.337319,1.464889
619,0.800,2000.0,40.0,inf,1.376307,1.452460,1.412168,1.452460
620,0.800,2000.0,inf,20.0,14.130551,15.429305,15.131006,15.429305
621,0.800,2000.0,inf,30.0,4.319443,4.650648,4.487516,4.650648
622,0.800,2000.0,inf,40.0,1.361759,1.453508,1.336749,1.453508
623,0.800,2000.0,inf,inf,0.000012,0.000012,0.000000,0.000012
624,0.800,5000.0,20.0,20.0,14.632085,15.596845,15.199972,15.596845
625,0.800,5000.0,20.0,30.0,13.421444,13.890442,12.585435,13.890442
626,0.800,5000.0,20.0,40.0,13.308703,14.697286,14.174618,14.697286
627,0.800,5000.0,20.0,inf,11.681127,13.771458,13.687625,13.771458
628,0.800,5000.0,30.0,20.0,14.309073,13.455597,13.467700,14.309073
629,0.800,5000.0,30.0,30.0,4.550999,4.584059,4.398766,4.584059
630,0.800,5000.0,30.0,40.0,4.541576,4.473324,4.696180,4.696180
631,0.800,5000.0,30.0,inf,4.073499,3.973016,4.303019,4.303019
632,0.800,5000.0,40.0,20.0,14.413226,15.616764,13.762848,15.616764
633,0.800,5000.0,40.0,30.0,4.548296,4.644536,4.061756,4.644536
634,0.800,5000.0,40.0,40.0,1.510886,1.527073,1.507528,1.527073
635,0.800,5000.0,40.0,inf,1.328600,1.508920,1.492261,1.508920
636,0.800,5000.0,inf,20.0,14.826516,14.457759,14.134607,14.826516
637,0.800,5000.0,inf,30.0,4.528695,4.813182,4.534506,4.813182
638,0.800,5000.0,inf,40.0,1.463012,1.336362,1.352034,1.463012
639,0.800,5000.0,inf,inf,0.000017,0.000017,0.000000,0.000017
640,0.900,100.0,20.0,20.0,14.678636,14.082155,13.860308,14.678636
641,0.900,100.0,20.0,30.0,14.470496,14.076883,13.162550,14.470496
642,0.900,100.0,20.0,40.0,14.434443,13.736571,12.824207,14.434443
643,0.900,100.0,20.0,inf,12.909404,13.583760,14.690104,14.690104
644,0.900,100.0,30.0,20.0,13.959600,13.676032,14.241238,14.241238
645,0.900,100.0,30.0,30.0,4.350581,4.483355,4.465833,4.483355
646,0.900,100.0,30.0,40.0,4.380271,4.000026,4.256011,4.380271
647,0.900,100.0,30.0,inf,4.356549,4.223538,4.715450,4.715450
648,0.900,100.0,40.0,20.0,14.400057,14.678599,14.551227,14.678599
649,0.900,100.0,40.0,30.0,4.435016,4.526159,4.018979,4.526159
650,0.900,100.0,40.0,40.0,1.468070,1.375113,1.510587,1.510587
651,0.900,100.0,40.0,inf,1.439644,1.402469,1.415801,1.439644
652,0.900,100.0,inf,20.0,13.973728,13.829502,13.556624,13.973728
653,0.900,100.0,inf,30.0,4.752282,4.369834,4.624614,4.752282
654,0.900,100.0,inf,40.0,1.428005,1.415802,1.377009,1.428005
655,0.900,100.0,inf,inf,0.000015,0.000015,0.000000,0.000015
656,0.900,500.0,20.0,20.0,14.368299,13.658344,14.260092,14.368299
657,0.900,500.0,20.0,30.0,14.950260,15.339689,14.747638,15.339689
658,0.900,500.0,20.0,40.0,13.044137,13.205179,14.097492,14.097492
659,0.900,500.0,20.0,inf,15.177472,13.838891,13.901744,15.177472
660,0.900,500.0,30.0,20.0,13.131034,13.840107,12.943346,13.840107
661,0.900,500.0,30.0,30.0,4.679903,4.637224,4.429193,4.679903
662,0.900,500.0,30.0,40.0,4.525842,4.648016,4.626773,4.648016
663,0.900,500.0,30.0,inf,4.405557,4.531901,4.634360,4.634360
664,0.900,500.0,40.0,20.0,15.038473,13.717236,13.870186,15.038473
665,0.900,500.0,40.0,30.0,4.706434,4.722674,4.505780,4.722674
666,0.900,500.0,40.0,40.0,1.382093,1.461943,1.382444,1.461943
667,0.900,500.0,40.0,inf,1.423998,1.482735,1.520065,1.520065
668,0.900,500.0,inf,20.0,14.356449,13.424116,12.712084,14.356449
669,0.900,500.0,inf,30.0,4.629146,3.996362,4.655596,4.655596
670,0.900,500.0,inf,40.0,1.484320,1.523568,1.511466,1.523568
671,0.900,500.0,inf,inf,0.000008,0.000008,0.000000,0.000008
672,0.900,1000.0,20.0,20.0,14.866395,13.781965,14.407440,14.866395
673,0.900,1000.0,20.0,30.0,13.336908,13.434501,14.481112,14.481112
674,0.900,1000.0,20.0,40.0,14.599550,13.465167,13.856830,14.599550
675,0.900,1000.0,20.0,inf,13.622351,13.292025,13.432018,13.622351
676,0.900,1000.0,30.0,20.0,13.739206,13.247347,13.533025,13.739206
677,0.900,1000.0,30.0,30.0,4.487350,4.776180,4.524048,4.776180
678,0.900,1000.0,30.0,40.0,4.669178,4.587766,4.608719,4.669178
679,0.900,1000.0,30.0,inf,4.534335,4.705876,4.514355,4.705876
680,0.900,1000.0,40.0,20.0,13.275059,12.829586,12.640468,13.275059
681,0.900,1000.0,40.0,30.0,4.788142,4.252919,4.418721,4.788142
682,0.900,1000.0,40.0,40.0,1.430555,1.460698,1.380800,1.460698
683,0.900,1000.0,40.0,inf,1.543865,1.448030,1.501170,1.543865
684,0.900,1000.0,inf,20.0,14.131189,12.759294,13.254593,14.131189
685,0.900,1000.0,inf,30.0,4.463605,4.037738,4.149224,4.463605
686,0.900,1000.0,inf,40.0,1.450382,1.366470,1.464506,1.464506
687,0.900,1000.0,inf,inf,0.000011,0.000011,0.000000,0.000011
688,0.900,2000.0,20.0,20.0,13.421862,14.676799,14.434165,14.676799
689,0.900,2000.0,20.0,30.0,13.079841,13.070967,12.489261,13.079841
690,0.900,2000.0,20.0,40.0,14.766941,14.880586,13.834004,14.880586
691,0.900,2000.0,20.0,inf,14.397820,13.205013,14.337048,14.397820
692,0.900,2000.0,30.0,20.0,13.342814,13.873095,13.766815,13.873095
693,0.900,2000.0,30.0,30.0,4.510273,4.583277,4.751265,4.751265
694,0.900,2000.0,30.0,40.0,4.287123,4.525874,4.297360,4.525874
695,0.900,2000.0,30.0,inf,4.409815,4.419756,4.471627,4.471627
696,0.900,2000.0,40.0,20.0,13.778089,14.138736,13.097586,14.138736
697,0.900,2000.0,40.0,30.0,4.648663,4.714329,4.754360,4.754360
698,0.900,2000.0,40.0,40.0,1.501156,1.481446,1.486771,1.501156
699,0.900,2000.0,40.0,inf,1.330371,1.401259,1.365421,1.401259
700,0.900,2000.0,inf,20.0,14.914141,14.465985,15.456963,15.456963
701,0.900,2000.0,inf,30.0,4.478750,4.464035,4.663592,4.663592
702,0.900,2000.0,inf,40.0,1.465681,1.440363,1.409602,1.465681
703,0.900,2000.0,inf,inf,0.000016,0.000016,0.000000,0.000016
704,0.900,5000.0,20.0,20.0,14.311927,14.421297,14.132832,14.421297
705,0.900,5000.0,20.0,30.0,13.406505,13.313372,14.311467,14.311467
706,0.900,5000.0,20.0,40.0,14.208966,13.901556,15.045454,15.045454
707,0.900,5000.0,20.0,inf,13.358085,12.995703,13.663762,13.663762
708,0.900,5000.0,30.0,20.0,13.920348,12.976856,14.039272,14.039272
709,0.900,5000.0,30.0,30.0,4.311849,4.328848,4.408644,4.408644
710,0.900,5000.0,30.0,40.0,4.173807,4.248680,4.338987,4.338987
711,0.900,5000.0,30.0,inf,4.169648,4.472566,4.199552,4.472566
712,0.900,5000.0,40.0,20.0,14.271128,13.060140,14.841113,14.841113
713,0.900,5000.0,40.0,30.0,4.620072,4.582139,4.336962,4.620072
714,0.900,5000.0,40.0,40.0,1.353462,1.394441,1.485003,1.485003
715,0.900,5000.0,40.0,inf,1.466702,1.419715,1.379634,1.466702
716,0.900,5000.0,inf,20.0,15.077855,13.303139,13.691752,15.077855
717,0.900,5000.0,inf,30.0,4.571281,4.453651,4.141571,4.571281
718,0.900,5000.0,inf,40.0,1.242417,1.353741,1.448182,1.448182
719,0.900,5000.0,inf,inf,0.000023,0.000023,0.000000,0.000023
