alpha,Rx,orc_satisfied
0.141837,161.4497,1
0.141837,174.8679,1
0.141837,189.4013,1
0.141837,205.1425,1
0.141837,222.1921,1
0.141837,240.6586,1
0.141837,260.6599,1
0.141837,282.3236,1
0.141837,305.7877,1
0.141837,331.2019,1
0.141837,358.7284,1
0.141837,388.5425,1
0.141837,420.8346,1
0.141837,455.8105,1
0.141837,493.6932,1
0.141837,534.7244,1
0.141837,579.1657,1
0.141837,627.3006,1
0.141837,679.4360,1
0.141837,735.9045,1
0.141837,797.0660,1
0.141837,863.3107,1
0.141837,935.0611,1
0.141837,1012.7747,1
0.141837,1096.9472,1
0.141837,1188.1153,1
0.141837,1286.8604,1
0.141837,1393.8123,1
0.141837,1509.6530,1
0.141837,1635.1214,1
0.141837,1771.0175,1
0.141837,1918.2081,1
0.141837,2077.6318,1
0.141837,2250.3052,1
0.141837,2437.3297,1
0.141837,2639.8980,1
0.141837,2859.3018,1
0.141837,3096.9405,1
0.141837,3354.3295,1
0.141837,3633.1102,1
0.141837,3935.0607,1
0.141837,4262.1064,1
0.141837,4616.3332,1
0.141837,5000.0000,1
0.160204,100.0000,1
0.160204,108.3111,1
0.160204,117.3129,1
0.160204,127.0628,1
0.160204,137.6231,1
0.160204,149.0611,1
0.160204,161.4497,1
0.160204,174.8679,1
0.160204,189.4013,1
0.160204,205.1425,1
0.160204,222.1921,1
0.160204,240.6586,1
0.160204,260.6599,1
0.160204,282.3236,1
0.160204,305.7877,1
0.160204,331.2019,1
0.160204,358.7284,1
0.160204,388.5425,1
0.160204,420.8346,1
0.160204,455.8105,1
0.160204,493.6932,1
0.160204,534.7244,1
0.160204,579.1657,1
0.160204,627.3006,1
0.160204,679.4360,1
0.160204,735.9045,1
0.160204,797.0660,1
0.160204,863.3107,1
0.160204,935.0611,1
0.160204,1012.7747,1
0.160204,1096.9472,1
0.160204,1188.1153,1
0.160204,1286.8604,1
0.160204,1393.8123,1
0.160204,1509.6530,1
0.160204,1635.1214,1
0.160204,1771.0175,1
0.160204,1918.2081,1
0.160204,2077.6318,1
0.160204,2250.3052,1
0.160204,2437.3297,1
0.160204,2639.8980,1
0.160204,2859.3018,1
0.160204,3096.9405,1
0.160204,3354.3295,1
0.160204,3633.1102,1
0.160204,3935.0607,1
0.160204,4262.1064,1
0.160204,4616.3332,1
0.160204,5000.0000,1
0.178571,100.0000,1
0.178571,108.3111,1
0.178571,117.3129,1
0.178571,127.0628,1
0.178571,137.6231,1
0.178571,149.0611,1
0.178571,161.4497,1
0.178571,174.8679,1
0.178571,189.4013,1
0.178571,205.1425,1
0.178571,222.1921,1
0.178571,240.6586,1
0.178571,260.6599,1
0.178571,282.3236,1
0.178571,305.7877,1
0.178571,331.2019,1
0.178571,358.7284,1
0.178571,388.5425,1
0.178571,420.8346,1
0.178571,455.8105,1
0.178571,493.6932,1
0.178571,534.7244,1
0.178571,579.1657,1
0.178571,627.3006,1
0.178571,679.4360,1
0.178571,735.9045,1
0.178571,797.0660,1
0.178571,863.3107,1
0.178571,935.0611,1
0.178571,1012.7747,1
0.178571,1096.9472,1
0.178571,1188.1153,1
0.178571,1286.8604,1
0.178571,1393.8123,1
0.178571,1509.6530,1
0.178571,1635.1214,1
0.178571,1771.0175,1
0.178571,1918.2081,1
0.178571,2077.6318,1
0.178571,2250.3052,1
0.178571,2437.3297,1
0.178571,2639.8980,1
0.178571,2859.3018,1
0.178571,3096.9405,1
0.178571,3354.3295,1
0.178571,3633.1102,1
0.178571,3935.0607,1
0.178571,4262.1064,1
0.178571,4616.3332,1
0.178571,5000.0000,1
0.196939,100.0000,1
0.196939,108.3111,1
0.196939,117.3129,1
0.196939,127.0628,1
0.196939,137.6231,1
0.196939,149.0611,1
0.196939,161.4497,1
0.196939,174.8679,1
0.196939,189.4013,1
0.196939,205.1425,1
0.196939,222.1921,1
0.196939,240.6586,1
0.196939,260.6599,1
0.196939,282.3236,1
0.196939,305.7877,1
0.196939,331.2019,1
0.196939,358.7284,1
0.196939,388.5425,1
0.196939,420.8346,1
0.196939,455.8105,1
0.196939,493.6932,1
0.196939,534.7244,1
0.196939,579.1657,1
0.196939,627.3006,1
0.196939,679.4360,1
0.196939,735.9045,1
0.196939,797.0660,1
0.196939,863.3107,1
0.196939,935.0611,1
0.196939,1012.7747,1
0.196939,1096.9472,1
0.196939,1188.1153,1
0.196939,1286.8604,1
0.196939,1393.8123,1
0.196939,1509.6530,1
0.196939,1635.1214,1
0.196939,1771.0175,1
0.196939,1918.2081,1
0.196939,2077.6318,1
0.196939,2250.3052,1
0.196939,2437.3297,1
0.196939,2639.8980,1
0.196939,2859.3018,1
0.196939,3096.9405,1
0.196939,3354.3295,1
0.196939,3633.1102,1
0.196939,3935.0607,1
0.196939,4262.1064,1
0.196939,4616.3332,1
0.196939,5000.0000,1
0.215306,100.0000,1
0.215306,108.3111,1
0.215306,117.3129,1
0.215306,127.0628,1
0.215306,137.6231,1
0.215306,149.0611,1
0.215306,161.4497,1
0.215306,174.8679,1
0.215306,189.4013,1
0.215306,205.1425,1
0.215306,222.1921,1
0.215306,240.6586,1
0.215306,260.6599,1
0.215306,282.3236,1
0.215306,305.7877,1
0.215306,331.2019,1
0.215306,358.7284,1
0.215306,388.5425,1
0.215306,420.8346,1
0.215306,455.8105,1
0.215306,493.6932,1
0.215306,534.7244,1
0.215306,579.1657,1
0.215306,627.3006,1
0.215306,679.4360,1
0.215306,735.9045,1
0.215306,797.0660,1
0.215306,863.3107,1
0.215306,935.0611,1
0.215306,1012.7747,1
0.215306,1096.9472,1
0.215306,1188.1153,1
0.215306,1286.8604,1
0.215306,1393.8123,1
0.215306,1509.6530,1
0.215306,1635.1214,1
0.215306,1771.0175,1
0.215306,1918.2081,1
0.215306,2077.6318,1
0.215306,2250.3052,1
0.215306,2437.3297,1
0.215306,2639.8980,1
0.215306,2859.3018,1
0.215306,3096.9405,1
0.215306,3354.3295,1
0.215306,3633.1102,1
0.215306,3935.0607,1
0.215306,4262.1064,1
0.215306,4616.3332,1
0.215306,5000.0000,1
0.233673,100.0000,1
0.233673,108.3111,1
0.233673,117.3129,1
0.233673,127.0628,1
0.233673,137.6231,1
0.233673,149.0611,1
0.233673,161.4497,1
0.233673,174.8679,1
0.233673,189.4013,1
0.233673,205.1425,1
0.233673,222.1921,1
0.233673,240.6586,1
0.233673,260.6599,1
0.233673,282.3236,1
0.233673,305.7877,1
0.233673,331.2019,1
0.233673,358.7284,1
0.233673,388.5425,1
0.233673,420.8346,1
0.233673,455.8105,1
