dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,loc_err_self_pct,delta_loc_pp,Rx_err_pct,Rx_err_self_pct,delta_Rx_pp
pscad,51,0.100,2000.0,20.0,inf,50.000000,17.240494,32.759506,0.452373,0.601116,-0.148742
pscad,52,0.100,2000.0,30.0,20.0,370.365031,33.069739,337.295292,1.042494,1.047806,-0.005312
pscad,53,0.100,2000.0,30.0,30.0,170.925382,50.000000,120.925382,0.728026,0.519224,0.208803
pscad,54,0.100,2000.0,30.0,40.0,200.221560,40.681869,159.539691,0.230359,0.278082,-0.047723
pscad,55,0.100,2000.0,30.0,inf,142.455410,13.766775,128.688635,0.203893,0.121712,0.082180
pscad,56,0.100,2000.0,40.0,20.0,50.000000,97.359246,-47.359246,0.657415,1.397023,-0.739608
pscad,57,0.100,2000.0,40.0,30.0,50.000000,53.310490,-3.310490,0.143138,0.253805,-0.110667
pscad,58,0.100,2000.0,40.0,40.0,36.072629,52.467731,-16.395102,0.005775,0.206126,-0.200351
pscad,59,0.100,2000.0,40.0,inf,165.338731,54.771445,110.567287,0.412126,0.007401,0.404725
pscad,60,0.100,2000.0,inf,20.0,9.250485,50.000000,-40.749515,0.848626,0.122608,0.726018
pscad,61,0.100,2000.0,inf,30.0,271.277517,36.407825,234.869692,0.784704,0.169471,0.615234
pscad,62,0.100,2000.0,inf,40.0,116.549380,40.646343,75.903037,0.207707,0.156626,0.051081
pscad,63,0.100,2000.0,inf,inf,135.224162,0.028500,135.195662,0.319856,0.000002,0.319854
pscad,64,0.100,5000.0,20.0,20.0,532.042791,50.000000,482.042791,1.628816,0.000000,1.628816
pscad,65,0.100,5000.0,20.0,30.0,50.000000,14.455837,35.544163,0.000000,0.419644,-0.419644
pscad,66,0.100,5000.0,20.0,40.0,120.745225,123.520634,-2.775409,0.000000,0.000000,0.000000
pscad,67,0.100,5000.0,20.0,inf,50.000000,50.000000,0.000000,0.000000,0.118555,-0.118555
pscad,68,0.100,5000.0,30.0,20.0,462.280158,190.918048,271.362110,0.000000,0.000000,0.000000
pscad,69,0.100,5000.0,30.0,30.0,41.354118,50.000000,-8.645882,0.000000,0.000000,0.000000
pscad,70,0.100,5000.0,30.0,40.0,202.534751,124.789231,77.745520,0.464204,0.127288,0.336916
pscad,71,0.100,5000.0,30.0,inf,347.554653,50.000000,297.554653,0.000000,0.000000,0.000000
pscad,72,0.100,5000.0,40.0,20.0,741.399141,50.000000,691.399141,0.359556,0.000000,0.359556
pscad,73,0.100,5000.0,40.0,30.0,181.090609,50.000000,131.090609,0.000000,0.091201,-0.091201
pscad,74,0.100,5000.0,40.0,40.0,209.213871,21.391926,187.821945,0.000000,0.145148,-0.145148
pscad,75,0.100,5000.0,40.0,inf,172.113711,6.408619,165.705092,0.000000,0.000000,0.000000
pscad,76,0.100,5000.0,inf,20.0,107.962436,418.816654,-310.854218,0.000000,0.000000,0.000000
pscad,77,0.100,5000.0,inf,30.0,60.602648,50.000000,10.602648,0.000000,0.394955,-0.394955
pscad,78,0.100,5000.0,inf,40.0,202.461303,18.882814,183.578489,0.000000,0.056753,-0.056753
pscad,79,0.100,5000.0,inf,inf,182.067482,0.040743,182.026739,0.000000,0.000009,-0.000009
pscad,80,0.200,100.0,20.0,20.0,21.933834,1.913569,20.020265,0.000000,0.000000,0.000000
pscad,81,0.200,100.0,20.0,30.0,11.910674,19.042855,-7.132181,0.000000,0.246666,-0.246666
pscad,82,0.200,100.0,20.0,40.0,8.298146,5.442781,2.855365,0.131267,0.000000,0.131267
pscad,83,0.200,100.0,20.0,inf,25.325499,9.946221,15.379278,0.115440,0.446187,-0.330747
pscad,84,0.200,100.0,30.0,20.0,2.401310,4.300127,-1.898817,0.259696,0.025864,0.233832
pscad,85,0.200,100.0,30.0,30.0,5.090623,8.686768,-3.596145,0.692399,0.053356,0.639043
pscad,86,0.200,100.0,30.0,40.0,1.854067,4.136257,-2.282191,0.021659,0.000000,0.021659
pscad,87,0.200,100.0,30.0,inf,0.968402,2.379180,-1.410778,0.000000,0.341239,-0.341239
pscad,88,0.200,100.0,40.0,20.0,4.560335,15.884487,-11.324152,0.336405,0.901356,-0.564951
pscad,89,0.200,100.0,40.0,30.0,3.104204,1.574441,1.529763,0.055193,0.000000,0.055193
pscad,90,0.200,100.0,40.0,40.0,1.032403,2.862125,-1.829722,0.000000,0.000000,0.000000
pscad,91,0.200,100.0,40.0,inf,0.921920,0.190204,0.731716,0.074924,0.000000,0.074924
pscad,92,0.200,100.0,inf,20.0,2.971503,23.972225,-21.000722,0.000000,0.000000,0.000000
pscad,93,0.200,100.0,inf,30.0,2.242045,0.155253,2.086792,0.000000,0.000000,0.000000
pscad,94,0.200,100.0,inf,40.0,1.064087,0.538062,0.526025,0.084373,0.130034,-0.045662
pscad,95,0.200,100.0,inf,inf,0.082911,0.000353,0.082558,0.045822,0.000098,0.045724
pscad,96,0.200,500.0,20.0,20.0,75.000000,63.016671,11.983329,1.389209,0.708327,0.680882
pscad,97,0.200,500.0,20.0,30.0,44.457502,68.366121,-23.908620,0.082367,0.980508,-0.898140
pscad,98,0.200,500.0,20.0,40.0,11.802894,39.805391,-28.002497,1.903734,1.277516,0.626219
pscad,99,0.200,500.0,20.0,inf,75.000000,72.928249,2.071751,0.657633,0.080553,0.577080
pscad,100,0.200,500.0,30.0,20.0,36.768623,27.340316,9.428307,0.535825,1.094014,-0.558189
pscad,101,0.200,500.0,30.0,30.0,83.245289,22.207654,61.037635,0.610354,0.407230,0.203123
pscad,102,0.200,500.0,30.0,40.0,6.758056,13.113693,-6.355637,0.337264,0.087352,0.249912
pscad,103,0.200,500.0,30.0,inf,16.227855,5.458386,10.769469,0.020820,0.401516,-0.380695
pscad,104,0.200,500.0,40.0,20.0,75.000000,84.249720,-9.249720,0.985457,0.075495,0.909962
pscad,105,0.200,500.0,40.0,30.0,36.909350,14.717347,22.192003,0.125017,0.250734,-0.125717
pscad,106,0.200,500.0,40.0,40.0,9.415643,9.550589,-0.134945,0.137065,0.000512,0.136553
pscad,107,0.200,500.0,40.0,inf,3.658191,2.594365,1.063826,0.023067,0.048071,-0.025004
pscad,108,0.200,500.0,inf,20.0,3.022477,20.150816,-17.128339,0.308038,0.014087,0.293950
pscad,109,0.200,500.0,inf,30.0,8.986947,8.773495,0.213451,0.044859,0.017519,0.027340
pscad,110,0.200,500.0,inf,40.0,12.981855,6.671670,6.310185,0.071468,0.048246,0.023223
pscad,111,0.200,500.0,inf,inf,4.841289,0.000609,4.840680,0.067561,0.000004,0.067557
pscad,112,0.200,1000.0,20.0,20.0,43.943808,60.413623,-16.469815,0.668199,0.220895,0.447305
pscad,113,0.200,1000.0,20.0,30.0,75.000000,33.514116,41.485884,0.105158,0.252289,-0.147131
pscad,114,0.200,1000.0,20.0,40.0,75.000000,75.000000,0.000000,1.106546,0.352461,0.754085
pscad,115,0.200,1000.0,20.0,inf,6.740951,16.372698,-9.631748,1.040858,0.413274,0.627583
pscad,116,0.200,1000.0,30.0,20.0,233.734521,58.253737,175.480784,2.219405,0.467108,1.752297
pscad,117,0.200,1000.0,30.0,30.0,28.345763,76.197371,-47.851608,0.383760,0.439255,-0.055495
pscad,118,0.200,1000.0,30.0,40.0,23.016657,58.161502,-35.144845,0.223953,0.620008,-0.396054
pscad,119,0.200,1000.0,30.0,inf,28.551272,11.604140,16.947132,0.185826,0.350863,-0.165037
pscad,120,0.200,1000.0,40.0,20.0,21.281924,58.296398,-37.014474,0.364487,0.299538,0.064949
pscad,121,0.200,1000.0,40.0,30.0,38.406765,45.405629,-6.998864,0.507413,0.376350,0.131063
pscad,122,0.200,1000.0,40.0,40.0,8.132040,1.104838,7.027203,0.004416,0.080940,-0.076524
pscad,123,0.200,1000.0,40.0,inf,26.042232,12.409962,13.632270,0.266659,0.192710,0.073949
pscad,124,0.200,1000.0,inf,20.0,15.612177,75.000000,-59.387823,0.478610,0.851181,-0.372570
pscad,125,0.200,1000.0,inf,30.0,2.790766,3.065853,-0.275087,0.017563,0.201402,-0.183838
pscad,126,0.200,1000.0,inf,40.0,13.206074,10.877006,2.329067,0.090189,0.094415,-0.004226
pscad,127,0.200,1000.0,inf,inf,18.127720,0.000038,18.127682,0.128184,0.000065,0.128119
pscad,128,0.200,2000.0,20.0,20.0,20.015162,53.978762,-33.963600,0.253024,0.504121,-0.251096
pscad,129,0.200,2000.0,20.0,30.0,49.628281,4.884076,44.744205,0.989551,0.618088,0.371463
pscad,130,0.200,2000.0,20.0,40.0,186.566430,75.000000,111.566430,0.952683,1.191657,-0.238973
pscad,131,0.200,2000.0,20.0,inf,75.000000,78.637829,-3.637829,1.031883,0.405409,0.626474
pscad,132,0.200,2000.0,30.0,20.0,75.000000,47.975779,27.024221,1.065262,0.839629,0.225633
pscad,133,0.200,2000.0,30.0,30.0,21.796546,26.930049,-5.133503,0.848375,0.232406,0.615969
pscad,134,0.200,2000.0,30.0,40.0,28.967051,35.867451,-6.900400,0.312096,0.233227,0.078869
pscad,135,0.200,2000.0,30.0,inf,38.039777,40.049071,-2.009294,0.347344,0.395746,-0.048402
pscad,136,0.200,2000.0,40.0,20.0,213.618874,368.236810,-154.617935,1.045567,1.303032,-0.257465
pscad,137,0.200,2000.0,40.0,30.0,173.132226,45.470523,127.661702,0.304243,0.126305,0.177938
pscad,138,0.200,2000.0,40.0,40.0,50.010657,7.461285,42.549372,0.306172,0.009008,0.297164
pscad,139,0.200,2000.0,40.0,inf,57.793762,15.799186,41.994576,0.238187,0.050596,0.187592
pscad,140,0.200,2000.0,inf,20.0,262.006131,75.000000,187.006131,0.462307,1.789490,-1.327183
pscad,141,0.200,2000.0,inf,30.0,126.808943,50.997042,75.811901,0.721855,0.315969,0.405886
pscad,142,0.200,2000.0,inf,40.0,68.794669,5.502312,63.292356,0.174265,0.137576,0.036689
pscad,143,0.200,2000.0,inf,inf,56.642674,0.000275,56.642400,0.303227,0.000116,0.303110
pscad,144,0.200,5000.0,20.0,20.0,219.148077,75.000000,144.148077,3.088326,0.000000,3.088326
pscad,145,0.200,5000.0,20.0,30.0,75.000000,16.506834,58.493166,0.000000,0.000000,0.000000
pscad,146,0.200,5000.0,20.0,40.0,73.427839,40.521368,32.906471,0.443155,0.388349,0.054806
pscad,147,0.200,5000.0,20.0,inf,16.112131,375.000000,-358.887869,0.220893,0.141166,0.079727
pscad,148,0.200,5000.0,30.0,20.0,135.390374,213.076256,-77.685882,0.000000,0.174173,-0.174173
pscad,149,0.200,5000.0,30.0,30.0,24.536017,45.094814,-20.558796,0.000000,0.000000,0.000000
pscad,150,0.200,5000.0,30.0,40.0,24.525002,82.316207,-57.791205,0.000000,0.000000,0.000000
pscad,151,0.200,5000.0,30.0,inf,150.441285,75.000000,75.441285,0.000000,0.171158,-0.171158
pscad,152,0.200,5000.0,40.0,20.0,96.655231,75.000000,21.655231,0.000000,0.000000,0.000000
pscad,153,0.200,5000.0,40.0,30.0,51.713729,66.312612,-14.598882,0.000000,0.000000,0.000000
pscad,154,0.200,5000.0,40.0,40.0,82.348418,48.271383,34.077034,0.000000,0.344192,-0.344192
pscad,155,0.200,5000.0,40.0,inf,28.457189,6.408628,22.048561,0.000000,0.000000,0.000000
pscad,156,0.200,5000.0,inf,20.0,75.000000,75.000000,0.000000,0.399492,2.411428,-2.011936
pscad,157,0.200,5000.0,inf,30.0,52.788222,52.863798,-0.075577,0.000000,0.000000,0.000000
pscad,158,0.200,5000.0,inf,40.0,49.236816,37.233036,12.003781,0.000000,0.284906,-0.284906
pscad,159,0.200,5000.0,inf,inf,62.680218,0.034273,62.645946,0.000000,0.000000,0.000000
pscad,160,0.300,100.0,20.0,20.0,10.765882,5.770415,4.995466,0.000000,0.298545,-0.298545
pscad,161,0.300,100.0,20.0,30.0,7.778448,5.414496,2.363952,0.515580,0.000000,0.515580
pscad,162,0.300,100.0,20.0,40.0,2.131732,0.933523,1.198209,0.137586,0.500109,-0.362523
pscad,163,0.300,100.0,20.0,inf,2.031029,5.155957,-3.124929,0.000000,0.000000,0.000000
pscad,164,0.300,100.0,30.0,20.0,1.034629,9.399921,-8.365292,0.134496,0.000000,0.134496
pscad,165,0.300,100.0,30.0,30.0,3.656006,6.227503,-2.571498,0.156075,0.000000,0.156075
pscad,166,0.300,100.0,30.0,40.0,0.041041,0.337006,-0.295965,0.030553,0.000000,0.030553
pscad,167,0.300,100.0,30.0,inf,1.995406,3.237607,-1.242201,0.000000,0.307041,-0.307041
pscad,168,0.300,100.0,40.0,20.0,11.956062,1.326108,10.629954,0.190586,0.436153,-0.245567
pscad,169,0.300,100.0,40.0,30.0,1.484646,1.343593,0.141053,0.000000,0.241767,-0.241767
pscad,170,0.300,100.0,40.0,40.0,1.092242,1.052586,0.039656,0.030075,0.175755,-0.145680
pscad,171,0.300,100.0,40.0,inf,0.849544,0.053898,0.795646,0.051768,0.000000,0.051768
pscad,172,0.300,100.0,inf,20.0,1.405128,4.348067,-2.942939,0.823863,0.589756,0.234106
pscad,173,0.300,100.0,inf,30.0,2.791790,0.691869,2.099922,0.465945,0.000000,0.465945
pscad,174,0.300,100.0,inf,40.0,0.177153,0.903934,-0.726781,0.083708,0.000000,0.083708
pscad,175,0.300,100.0,inf,inf,0.102864,0.000237,0.102627,0.101501,0.000097,0.101404
pscad,176,0.300,500.0,20.0,20.0,1.550895,81.612317,-80.061422,1.138754,1.250688,-0.111934
pscad,177,0.300,500.0,20.0,30.0,83.333333,10.499185,72.834149,0.182730,0.268086,-0.085356
pscad,178,0.300,500.0,20.0,40.0,42.327737,44.857229,-2.529492,0.452594,0.821974,-0.369380
pscad,179,0.300,500.0,20.0,inf,32.605715,40.253391,-7.647676,0.037850,0.058605,-0.020756
pscad,180,0.300,500.0,30.0,20.0,14.559716,25.377914,-10.818198,1.134255,1.143838,-0.009583
pscad,181,0.300,500.0,30.0,30.0,16.714356,6.714257,10.000098,0.604689,0.102296,0.502393
pscad,182,0.300,500.0,30.0,40.0,12.542818,1.662589,10.880229,0.100155,0.118713,-0.018558
pscad,183,0.300,500.0,30.0,inf,23.675376,24.800975,-1.125599,0.035054,0.146204,-0.111150
pscad,184,0.300,500.0,40.0,20.0,41.773201,5.205707,36.567494,0.463414,0.318972,0.144442
pscad,185,0.300,500.0,40.0,30.0,1.276772,16.007515,-14.730743,0.384013,0.081162,0.302851
pscad,186,0.300,500.0,40.0,40.0,0.719004,0.362834,0.356169,0.156981,0.145394,0.011588
