trial,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,loc_err_emanuel_dft,loc_err_wang2020_dft,loc_err_emanuel_tft,loc_err_wang2020_tft,delta_dft,delta_tft
0,bus_01,0.5,5000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_01,0.5,5000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,100.0,20.0,30.0,61.43300182252178,62.9126139229188,99.98,99.98,1.47961210039702,0.0
0,bus_07,0.5,100.0,20.0,40.0,63.18358243862258,24.71706983498351,99.98,71.37064787114835,-38.466512603639075,-28.609352128851654
0,bus_07,0.5,100.0,20.0,inf,63.382459547488736,73.31784827670198,99.95698782525652,77.21801195823228,9.935388729213244,-22.738975867024237
0,bus_07,0.5,100.0,30.0,30.0,62.94544106983566,12.4736356862159,99.98,85.40619164067623,-50.47180538361976,-14.573808359323777
0,bus_07,0.5,100.0,30.0,40.0,65.1819630521497,46.89671375783659,99.98,97.41904602246095,-18.28524929431311,-2.5609539775390573
0,bus_07,0.5,100.0,30.0,inf,65.1907304347872,16.5524481673597,99.98,99.98,-48.6382822674275,0.0
0,bus_07,0.5,100.0,40.0,30.0,67.21991762716286,10.5629287319854,99.98,61.25240893233581,-56.656988895177456,-38.72759106766419
0,bus_07,0.5,100.0,40.0,40.0,65.09450409039776,34.74706501946161,99.98,79.27481834674317,-30.347439070936154,-20.70518165325683
0,bus_07,0.5,100.0,40.0,inf,65.08195528206893,20.37688014216057,99.93646446783642,99.14868654480723,-44.70507513990836,-0.7877779230291821
0,bus_07,0.5,100.0,inf,30.0,63.245542706778494,22.50521561004074,99.98,96.52855278057926,-40.74032709673776,-3.451447219420743
0,bus_07,0.5,100.0,inf,40.0,64.99696529506001,36.817895538119586,99.90052240781706,99.98,-28.17906975694042,0.07947759218293982
