trip,trip_time_ms,k_ibr,Rf,kappa_n,model,ddr
True,20.0,0.9592312912533572,0.08160741192570514,1.000000000000003,pv_2param,5.93929931351021e-17
True,20.0,0.3703356454061306,0.14082987513218095,1.000000000000005,pv_2param,5.930432477419667e-17
True,20.0,0.7037181735132367,0.08620309218702107,1.1012010700117267,pv_2param,5.716137889147128e-17
True,20.0,0.7316744645706992,0.0056026134059363525,1.0000000000000093,pv_2param,8.151429232879807e-17
True,20.0,1.3392064107764416,0.12870576622714952,1.0000000000000056,pv_2param,8.428750609191217e-17
True,20.0,0.9413962234103692,0.1234207936079574,1.0507121257213892,pv_2param,8.547448533900245e-17
True,20.0,0.8044159152893628,0.019145227618181184,1.0000000000000013,pv_2param,9.03492710971552e-17
True,20.0,0.6893063206382333,0.16851775895559895,1.000000000000002,pv_2param,0.0
True,20.0,1.1815499534377198,0.15925279961035374,1.135169050360308,pv_2param,9.379388233591159e-17
True,20.0,0.7895346328675279,0.1205819774049747,1.0000000000000087,pv_2param,6.574334458482565e-18
True,20.0,0.8622998336701029,0.024006432709724093,1.000000000000001,pv_2param,0.0
True,20.0,1.2714610778566562,0.011481619295788082,1.000000000000001,pv_2param,4.642388241404077e-17
True,20.0,0.9093307782520215,0.016632718072745512,1.0000000000000058,pv_2param,3.347602934587575e-17
True,20.0,0.9980805413714813,0.02738783635485975,1.0000000000000067,pv_2param,7.525040270317802e-17
True,20.0,1.2250794106150367,0.17383192083917165,1.0600655623690765,pv_2param,2.5864225754730404e-17
True,20.0,1.22311917003128,0.00872626722770018,1.002223105563765,pv_2param,7.016582172048815e-17
True,20.0,1.0742518239386234,0.1593884313334178,1.0000000000000104,pv_2param,5.5873837009308e-17
True,20.0,0.9112074487853055,0.03216255135607662,1.0000000000000029,pv_2param,0.0
True,20.0,1.4165609598489555,0.12971655325246842,1.0000000000000033,pv_2param,1.0362691591557982e-16
True,20.0,1.4741957317898178,0.13109738151943062,1.0000000000000067,pv_2param,8.393580149481631e-17
True,20.0,0.4967207892636851,0.033412964255060816,1.017302347824966,pv_2param,6.175241849163275e-17
True,20.0,1.3342920003700989,0.015910866424463266,1.0000000000000042,pv_2param,4.674168310067647e-17
True,20.0,0.729003216685193,0.042576825558922,1.0000000000000058,pv_2param,1.3448956802176677e-17
True,20.0,1.0530961761074225,0.020693277395804358,1.0000000000000175,pv_2param,5.453308374960481e-17
True,20.0,0.7643122100854889,0.01170446427668681,1.002751946045575,pv_2param,1.4133505808321093e-16
True,20.0,0.6927053041216229,0.14737438290078442,1.008570411346101,pv_2param,0.0
True,20.0,1.0374595166224778,0.0785377328521305,1.0000000000000036,pv_2param,9.65681020324331e-17
True,20.0,1.1226579557629688,0.19871855252253234,1.0000000000000049,pv_2param,6.912169000029325e-17
True,20.0,1.389233250059076,0.18166129617640375,1.0015889417497839,pv_2param,6.124258939893691e-17
True,20.0,0.9766616000310904,0.015245949093242107,1.0000000000000009,pv_2param,0.0
True,20.0,0.9159078699970606,0.02719515121021403,1.0000000000000062,pv_2param,5.51155496932846e-17
True,20.0,1.0029974426049018,0.151179180367739,1.0000000000000064,pv_2param,0.0
True,20.0,0.3488727132369774,0.02746057321857376,1.008753802855648,pv_2param,1.0994923163559461e-16
True,20.0,1.2124788687905819,0.19219525972721857,1.000000000000012,pv_2param,0.0
True,20.0,0.667014522989579,0.08995668595644074,1.0000000000000122,pv_2param,7.429811795800578e-17
True,20.0,0.47856416827463244,0.11259574075033635,1.0606619724983366,pv_2param,0.0
True,20.0,1.1919483759367608,0.0341248749956071,1.0000000000000018,pv_2param,5.518331126272592e-17
True,20.0,1.380581228311321,0.06381822337131596,1.0000000000000075,pv_2param,0.0
True,20.0,1.0597986961162524,0.02567802206100074,1.0000000000000058,pv_2param,5.956247500294299e-17
True,20.0,0.43057020706090465,0.0428552132406302,1.0211250472543938,pv_2param,1.125619697787454e-16
True,20.0,0.4633870004202147,0.11065076276285796,1.0000000000000018,pv_2param,0.0
True,20.0,1.2010187507986323,0.16109167257751367,1.0000000000000089,pv_2param,5.730205117806874e-17
True,20.0,0.9751075477824243,0.0357920608286999,1.000000000000001,pv_2param,6.405370701874039e-17
True,20.0,1.3969892857172612,0.1284836102726393,1.0000000000000056,pv_2param,5.124762117091079e-17
True,20.0,1.4190542316766528,0.1201236826229004,1.0000000000000064,pv_2param,1.6153604466444197e-16
True,20.0,0.9038943061208333,0.0969709861637894,1.0000000000000027,pv_2param,1.0807469555078528e-16
True,20.0,0.615851994159361,0.12174086537176208,1.0000000000000018,pv_2param,5.2069935239181296e-17
True,20.0,0.4458470439565292,0.07475408060473335,1.0000000000000024,pv_2param,6.863273649237265e-17
True,20.0,1.0681648429542527,0.10937295044304612,1.0064655033928243,pv_2param,3.791950853508873e-17
True,20.0,1.1586453728403687,0.14534368489405167,1.0000000000000013,pv_2param,0.0
True,20.0,0.9463827523697137,0.04631701371781183,1.0000000000000056,pv_2param,0.0
True,20.0,0.6885148829800931,0.1524184625122228,1.0000000000000022,pv_2param,1.0093345211782139e-16
True,20.0,1.2869150719682227,0.023054183287787078,1.0000000000000082,pv_2param,1.557866045072735e-16
True,20.0,1.1143307132046618,0.07447419690819539,1.0000000000000033,pv_2param,1.4776037160910017e-16
True,20.0,0.4615328249885223,0.01908631353358812,1.0000000000000109,pv_2param,5.861445318248188e-17
True,20.0,1.2667463084976274,0.1294360376930056,1.0000000000000018,pv_2param,0.0
True,20.0,0.3342477918999976,0.17545249481752906,1.0000000000000009,pv_2param,0.0
True,20.0,0.6780014594554509,0.007597321299829507,1.0000000000000024,pv_2param,7.83578718475054e-17
True,20.0,0.6676003225095296,0.19826743404518082,1.0576094830714415,pv_2param,0.0
