fault_type,Rf_ohm,inception_deg,loading_pu,M,Iss,fHIF,Keff,TMS_star,regime,t_fixed_s,t_adapt_s,delta_t_pct,gamma,accepted,tripped_fixed,tripped_adapt
SLG,46,0,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8285,1,1,1
SLG,46,0,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8498,1,1,1
SLG,46,90,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.7912,0,1,1
SLG,46,90,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8115,1,1,1
SLG,46,180,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8219,1,1,1
SLG,46,180,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.843,1,1,1
3PH,60,0,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8584,1,1,1
3PH,60,0,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8804,1,1,1
3PH,60,90,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8198,1,1,1
3PH,60,90,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8408,1,1,1
3PH,60,180,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8515,1,1,1
3PH,60,180,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8734,1,1,1
SLG,60,0,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8051,1,0,0
SLG,60,0,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8257,1,0,0
SLG,60,90,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7689,0,0,0
SLG,60,90,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7886,0,0,0
SLG,60,180,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7986,0,0,0
SLG,60,180,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8191,1,0,0
3PH,72,0,0.8,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.843,1,1,1
3PH,72,0,1.0,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8647,1,1,1
3PH,72,90,0.8,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8051,1,1,1
3PH,72,90,1.0,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8257,1,1,1
3PH,72,180,0.8,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8363,1,1,1
3PH,72,180,1.0,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8577,1,1,1
SLG,72,0,0.8,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.787,0,0,0
SLG,72,0,1.0,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.8071,1,0,0
SLG,72,90,0.8,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.7515,0,0,0
SLG,72,90,1.0,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.7708,0,0,0
SLG,72,180,0.8,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.7807,0,0,0
SLG,72,180,1.0,0.7745,0.4891,0.9537,0.12,0.095,No-trip,9999,9999,nan,0.8007,1,0,0
3PH,80,0,0.8,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.8335,1,1,1
3PH,80,0,1.0,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.8548,1,1,1
3PH,80,90,0.8,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.796,0,1,1
3PH,80,90,1.0,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.8164,1,1,1
3PH,80,180,0.8,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.8268,1,1,1
3PH,80,180,1.0,1.1876,0.4841,0.9441,0.12,0.094,Inv-time,8.637,6.768,21.6,0.848,1,1,1
SLG,80,0,0.8,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7757,0,0,0
SLG,80,0,1.0,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7956,0,0,0
SLG,80,90,0.8,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7408,0,0,0
SLG,80,90,1.0,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7598,0,0,0
SLG,80,180,0.8,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7695,0,0,0
SLG,80,180,1.0,0.7121,0.4841,0.9441,0.12,0.094,No-trip,9999,9999,nan,0.7892,0,0,0
3PH,90,0,0.8,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.8221,1,1,1
3PH,90,0,1.0,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.8432,1,1,1
3PH,90,90,0.8,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.7851,0,1,1
3PH,90,90,1.0,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.8052,1,1,1
3PH,90,180,0.8,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.8155,1,1,1
3PH,90,180,1.0,1.0771,0.4775,0.9311,0.12,0.0927,Inv-time,21.003,16.232,22.7,0.8364,1,1,1
SLG,90,0,0.8,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.7623,0,0,0
SLG,90,0,1.0,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.7819,0,0,0
SLG,90,90,0.8,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.728,0,0,0
SLG,90,90,1.0,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.7467,0,0,0
SLG,90,180,0.8,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.7562,0,0,0
SLG,90,180,1.0,0.6459,0.4775,0.9311,0.12,0.0927,No-trip,9999,9999,nan,0.7756,0,0,0
3PH,98,0,0.8,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.8135,1,0,0
3PH,98,0,1.0,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.8343,1,0,0
3PH,98,90,0.8,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.7769,0,0,0
3PH,98,90,1.0,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.7968,0,0,0
3PH,98,180,0.8,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.807,1,0,0
3PH,98,180,1.0,1.0016,0.4719,0.9201,0.12,0.0916,Inv-time,1003.511,766.391,nan,0.8276,1,0,0
SLG,98,0,0.8,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7522,0,0,0
SLG,98,0,1.0,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7715,0,0,0
SLG,98,90,0.8,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7183,0,0,0
SLG,98,90,1.0,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7368,0,0,0
SLG,98,180,0.8,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7462,0,0,0
SLG,98,180,1.0,0.6006,0.4719,0.9201,0.12,0.0916,No-trip,9999,9999,nan,0.7653,0,0,0
3PH,120,0,0.8,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7914,0,0,0
3PH,120,0,1.0,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.8117,1,0,0
3PH,120,90,0.8,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7558,0,0,0
3PH,120,90,1.0,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7751,0,0,0
3PH,120,180,0.8,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.785,0,0,0
3PH,120,180,1.0,0.8376,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.8052,1,0,0
SLG,120,0,0.8,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7265,0,0,0
SLG,120,0,1.0,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7451,0,0,0
SLG,120,90,0.8,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.6938,0,0,0
SLG,120,90,1.0,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7116,0,0,0
SLG,120,180,0.8,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7207,0,0,0
SLG,120,180,1.0,0.5022,0.4552,0.8876,0.08,0.0589,No-trip,9999,9999,nan,0.7392,0,0,0
3PH,200,0,0.8,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.7266,0,0,0
3PH,200,0,1.0,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.7453,0,0,0
3PH,200,90,0.8,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6939,0,0,0
3PH,200,90,1.0,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.7117,0,0,0
3PH,200,180,0.8,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.7208,0,0,0
3PH,200,180,1.0,0.5201,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.7393,0,0,0
SLG,200,0,0.8,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6541,0,0,0
SLG,200,0,1.0,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6708,0,0,0
SLG,200,90,0.8,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6246,0,0,0
SLG,200,90,1.0,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6406,0,0,0
SLG,200,180,0.8,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6488,0,0,0
SLG,200,180,1.0,0.3118,0.3892,0.759,0.08,0.0504,No-trip,9999,9999,nan,0.6655,0,0,0
3PH,500,0,0.8,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.6072,0,0,0
3PH,500,0,1.0,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.6228,0,0,0
3PH,500,90,0.8,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5799,0,0,0
3PH,500,90,1.0,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5948,0,0,0
3PH,500,180,0.8,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.6024,0,0,0
3PH,500,180,1.0,0.2123,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.6178,0,0,0
SLG,500,0,0.8,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5398,0,0,0
SLG,500,0,1.0,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5537,0,0,0
SLG,500,90,0.8,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5155,0,0,0
SLG,500,90,1.0,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5287,0,0,0
SLG,500,180,0.8,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5355,0,0,0
SLG,500,180,1.0,0.1273,0.218,0.4251,0.08,0.05,No-trip,9999,9999,nan,0.5492,0,0,0
