t,ia,ib,ic,va,vb,vc,i_rms
3.8166,0.25496078,-0.529256,0.27408733,-0.77703918,0.018570075,0.7584691,0.37446969
3.8167,0.26940136,-0.52934101,0.25973545,-0.76323768,-0.0092855466,0.77252323,0.37446673
3.8168,0.28357596,-0.52890362,0.24512736,-0.74868296,-0.037132005,0.78581496,0.37446377
3.8169,0.29747059,-0.52794427,0.23027748,-0.73338938,-0.064941818,0.7983312,0.37446083
3.817,0.31107155,-0.52646392,0.21520045,-0.71737203,-0.092687541,0.81005957,0.3744579
3.8171,0.32436542,-0.52446402,0.19991116,-0.70064672,-0.12034179,0.82098851,0.37445499
3.8172,0.33733908,-0.52194656,0.1844247,-0.68322996,-0.14787728,0.83110724,0.37445211
3.8173,0.34997972,-0.51891402,0.16875636,-0.66513893,-0.17526683,0.84040577,0.37444927
3.8174,0.36227488,-0.5153694,0.1529216,-0.64639149,-0.20248342,0.84887491,0.37444646
3.8175,0.37421243,-0.51131621,0.13693604,-0.62700614,-0.22950018,0.85650632,0.3744437
3.8176,0.38578058,-0.50675844,0.12081547,-0.60700202,-0.25629045,0.86329246,0.37444099
3.8177,0.39696792,-0.5017006,0.10457579,-0.58639885,-0.28282779,0.86922664,0.37443833
3.8178,0.40776342,-0.49614768,0.088233029,-0.56521698,-0.30908601,0.87430299,0.37443573
3.8179,0.41815643,-0.49010517,0.071803322,-0.54347731,-0.33503921,0.87851651,0.3744332
3.818,0.42813668,-0.48357904,0.055302881,-0.52120129,-0.36066176,0.88186305,0.37443073
3.8181,0.43769435,-0.47657572,0.038747989,-0.49841091,-0.38592838,0.88433929,0.37442833
3.8182,0.44681998,-0.46910214,0.022154985,-0.47512865,-0.41081414,0.88594279,0.37442601
3.8183,0.4555046,-0.46116568,0.0055402437,-0.45137751,-0.43529447,0.88667197,0.37442376
3.8184,0.46373961,-0.45277416,-0.011079837,-0.4271809,-0.45934522,0.88652612,0.3744216
3.8185,0.47151692,-0.44393587,-0.027688856,-0.40256273,-0.48294265,0.88550537,0.37441952
3.8186,0.47882883,-0.43465955,-0.044270423,-0.37754727,-0.50606347,0.88361074,0.37441753
3.8187,0.48566814,-0.42495434,-0.060808172,-0.35215921,-0.52868488,0.88084409,0.37441562
3.8188,0.49202811,-0.41482983,-0.077285785,-0.32642362,-0.55078453,0.87720815,0.37441381
3.8189,0.49790246,-0.40429601,-0.093687,-0.30036589,-0.57234062,0.87270651,0.37441208
3.819,0.50328539,-0.39336329,-0.10999563,-0.27401173,-0.59333189,0.86734362,0.37441045
3.8191,0.5081716,-0.38204245,-0.12619559,-0.24738716,-0.61373761,0.86112477,0.37440891
3.8192,0.51255627,-0.37034468,-0.14227088,-0.22051844,-0.63353764,0.85405608,0.37440747
3.8193,0.51643508,-0.35828151,-0.15820564,-0.1934321,-0.65271245,0.84614455,0.37440612
3.8194,0.51980421,-0.34586485,-0.17398415,-0.16615487,-0.67124311,0.83739798,0.37440486
3.8195,0.52266032,-0.33310697,-0.18959085,-0.13871366,-0.68911133,0.82782499,0.37440369
3.8196,0.52500062,-0.32002045,-0.20501032,-0.11113556,-0.70629948,0.81743504,0.37440261
3.8197,0.52682278,-0.30661821,-0.22022735,-0.083447779,-0.7227906,0.80623838,0.37440162
3.8198,0.52812502,-0.29291348,-0.23522693,-0.055677647,-0.73856842,0.79424606,0.37440071
3.8199,0.52890606,-0.27891979,-0.24999425,-0.027852567,-0.75361735,0.78146992,0.37439989
3.82,0.52916513,-0.26465095,-0.26451475,1.7903638e-13,-0.76792256,0.76792256,0.37439916
3.8201,0.52890198,-0.25012105,-0.27877409,0.027852567,-0.78146992,0.75361735,0.3743985
3.8202,0.52811687,-0.23534442,-0.29275821,0.055677647,-0.79424606,0.73856842,0.37439791
3.8203,0.52681058,-0.22033564,-0.3064533,0.083447779,-0.80623838,0.7227906,0.3743974
3.8204,0.5249844,-0.20510955,-0.31984586,0.11113556,-0.81743504,0.70629948,0.37439696
3.8205,0.52264014,-0.18968115,-0.33292267,0.13871366,-0.82782499,0.68911133,0.37439658
3.8206,0.51978013,-0.17406568,-0.34567083,0.16615487,-0.83739798,0.67124311,0.37439626
3.8207,0.51640717,-0.15827855,-0.35807775,0.1934321,-0.84614455,0.65271245,0.374396
3.8208,0.51252461,-0.14233534,-0.37013121,0.22051844,-0.85405608,0.63353764,0.37439579
3.8209,0.50813629,-0.12625179,-0.38181929,0.24738716,-0.86112477,0.61373761,0.37439562
3.821,0.50324653,-0.11004377,-0.39313048,0.27401173,-0.86734362,0.59333189,0.37439549
3.8211,0.49786017,-0.09372728,-0.40405361,0.30036589,-0.87270651,0.57234062,0.3743954
3.8212,0.49198252,-0.077318417,-0.41457791,0.32642362,-0.87720815,0.55078453,0.37439534
3.8213,0.48561939,-0.060833377,-0.42469299,0.35215921,-0.88084409,0.52868488,0.3743953
3.8214,0.47877707,-0.044288431,-0.43438888,0.37754727,-0.88361074,0.50606347,0.37439528
3.8215,0.4714623,-0.027699906,-0.443656,0.40256273,-0.88550537,0.48294265,0.37439527
3.8216,0.46368232,-0.011084173,-0.45248522,0.4271809,-0.88652612,0.45934522,0.37439527
3.8217,0.4554448,0.0055423689,-0.46086782,0.45137751,-0.88667197,0.43529447,0.37439527
3.8218,0.44675788,0.022163312,-0.46879555,0.47512865,-0.88594279,0.41081414,0.37439526
3.8219,0.43763013,0.038762254,-0.47626056,0.49841091,-0.88433929,0.38592838,0.37439525
3.822,0.42807057,0.055322813,-0.48325552,0.52120129,-0.88186305,0.36066176,0.37439521
3.8221,0.41808862,0.071828647,-0.4897735,0.54347731,-0.87851651,0.33503921,0.37439516
3.8222,0.40769416,0.088263467,-0.49580809,0.56521698,-0.87430299,0.30908601,0.37439508
3.8223,0.39689743,0.10461105,-0.50135334,0.58639885,-0.86922664,0.28282779,0.37439496
3.8224,0.38570909,0.12085528,-0.50640377,0.60700202,-0.86329246,0.25629045,0.37439481
3.8225,0.37414019,0.1369801,-0.5109544,0.62700614,-0.85650632,0.22950018,0.37439461
