decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
TRIP,20.0,False,TRIP,0.6959753600399021,0.8042664934810044,0.5185409282404322,343.5268509094009
TRIP,40.0,False,TRIP,0.6751756539985942,0.7308421729268186,0.6970645259704591,356.56216631375804
TRIP,20.0,True,TRIP,0.9007736683184824,0.7906205398339234,0.028684116130431113,299.9399153398009
TRIP,20.0,True,TRIP,0.8636286753304651,0.9420119056899425,0.17144360426300367,159.79820698479094
TRIP,20.0,False,TRIP,0.7604352799600217,0.8480438599057427,0.41841852386849515,197.0673761062457
TRIP,20.0,False,CTALARM,0.7910597263334564,0.7514718326649824,0.2906361173276846,181.1905114819301
TRIP,120.0,False,TRIP,0.8776454558883446,0.7937897117739814,0.44628934458265,56.04002115838175
TRIP,20.0,False,TRIP,0.7976133292052187,0.9860743839020819,0.41048303319714996,307.5891015691311
TRIP,80.0,False,TRIP,0.8357756907137088,0.8295872464295879,0.5515926275296565,243.2847372937366
TRIP,20.0,True,TRIP,0.898951852779405,0.8324797764418279,0.04963204409852216,229.6568218280222
TRIP,100.0,False,TRIP,0.8775091751800657,0.7459208806132639,0.30843124894991386,79.31922060113241
TRIP,120.0,False,TRIP,0.8643037393671805,0.7913662913842854,0.6020376527828603,55.137347556495925
TRIP,20.0,False,TRIP,0.8360126334590087,0.9444058398820139,0.25393333374287314,314.2895317324377
TRIP,60.0,False,TRIP,0.8582475438523578,0.935859692320979,0.35265216368917174,64.58902150399734
TRIP,40.0,True,TRIP,0.908199106410804,0.8306496396829144,0.015105038405543291,26.53864842861108
TRIP,40.0,True,TRIP,0.8832896050515696,0.9680956786471373,0.15692172655900896,225.2178724066882
TRIP,40.0,False,TRIP,0.8224896958728578,0.8140776751188467,0.32455858510764257,253.56357263142866
TRIP,60.0,False,TRIP,0.8724078651677176,0.9592988739465802,0.2792776883850405,43.06406771208313
TRIP,120.0,False,TRIP,0.867546587399791,0.7094696651754108,0.5002584138371,74.4693859148345
TRIP,20.0,False,TRIP,0.7360367140117491,0.8041690870689132,0.4283159871140811,283.95496622215416
TRIP,20.0,False,TRIP,0.726649894876986,0.9565205434059506,0.616197765515149,334.6506719044274
TRIP,20.0,False,TRIP,0.7394220457684877,0.9703928684422984,0.5983394911881807,171.53593813433523
TRIP,20.0,True,TRIP,0.8612185364719418,0.9269272123661147,0.16885388853641667,285.1217902268641
TRIP,20.0,True,TRIP,0.9130079766930789,0.9009597450687101,0.012347110323709685,114.98404243646883
TRIP,40.0,False,TRIP,0.7814951530604988,0.9446514728386898,0.5981295387926336,253.16421866424406
TRIP,20.0,False,TRIP,0.8409744533747451,0.9122674564666388,0.23038460487352305,200.59936539172878
TRIP,20.0,False,TRIP,0.8063399457422675,0.7762662863395535,0.24297679646842,303.5559288882573
