id,group,label,expected,decision,trip_cycle,trip_ms,Ak_mean,pass
S01,Internal-SG,Int-3PH SG φ=0° Br=0,TRIP,TRIP,8,160.0,0.39365336077453916,True
S02,Internal-SG,Int-3PH SG φ=90° Br=0,TRIP,TRIP,1,20.0,0.0,True
S03,Internal-SG,Int-3PH SG φ=0° Br=0.7,TRIP,TRIP,8,160.0,0.36059197670229637,True
S04,Internal-SG,Int-3PH SG φ=90° Br=0.7,TRIP,TRIP,1,20.0,0.05053899117973046,True
S05,Internal-50IBR,Int-3PH 50%IBR φ=0° Br=0,TRIP,TRIP,7,140.0,0.39163451152031076,True
S06,Internal-50IBR,Int-3PH 50%IBR φ=90° Br=0,TRIP,TRIP,1,20.0,0.0,True
S07,Internal-50IBR,Int-3PH 50%IBR φ=0° Br=0.7,TRIP,TRIP,5,100.0,0.22567786902037543,True
S08,Internal-50IBR,Int-3PH 50%IBR φ=90° Br=0.7,TRIP,TRIP,4,80.0,0.2210032437106915,True
S09,Internal-100IBR,Int-3PH 100%IBR φ=0° Br=0,TRIP,TRIP,1,20.0,0.0,True
S10,Internal-100IBR,Int-3PH 100%IBR φ=90° Br=0,TRIP,TRIP,1,20.0,0.0,True
S11,Internal-100IBR,Int-3PH 100%IBR φ=0° Br=0.7,TRIP,TRIP,1,20.0,0.05053899117973046,True
S12,Internal-100IBR,Int-3PH 100%IBR φ=90° Br=0.7,TRIP,TRIP,1,20.0,0.02587310075290382,True
S13,Inrush,Inrush φ=0° Br=0,RESTRAIN,RESTRAIN,15,300.0,0.8197280363338296,True
S14,Inrush,Inrush φ=90° Br=0,RESTRAIN,RESTRAIN,15,300.0,0.8157130051158102,True
S15,Inrush,Inrush φ=0° Br=0.7,RESTRAIN,RESTRAIN,15,300.0,0.7594274923694869,True
S16,Inrush,Inrush φ=90° Br=0.7,RESTRAIN,RESTRAIN,15,300.0,0.7681150839542941,True
S17,CTsat-SG,Ext-CTsat SG φ=0° Br=0,CTALARM,CTALARM,1,20.0,-0.5711527306380313,True
S18,CTsat-SG,Ext-CTsat SG φ=90° Br=0,CTALARM,CTALARM,1,20.0,-0.5424110086849584,True
S19,CTsat-SG,Ext-CTsat SG φ=0° Br=0.7,CTALARM,CTALARM,1,20.0,-0.5336447371137533,True
S20,CTsat-SG,Ext-CTsat SG φ=90° Br=0.7,CTALARM,CTALARM,1,20.0,-0.39228231440453915,True
S21,CTsat-50IBR,Ext-CTsat 50%IBR φ=0° Br=0,CTALARM,CTALARM,1,20.0,-0.5711527306380314,True
S22,CTsat-50IBR,Ext-CTsat 50%IBR φ=90° Br=0,CTALARM,CTALARM,1,20.0,-0.5424110086849584,True
S23,CTsat-50IBR,Ext-CTsat 50%IBR φ=0° Br=0.7,CTALARM,CTALARM,1,20.0,-0.5041729511068915,True
S24,CTsat-50IBR,Ext-CTsat 50%IBR φ=90° Br=0.7,CTALARM,CTALARM,1,20.0,-0.39228231440453915,True
